municipio,year,defor_ha,forest_area_2000_ha,defor_pct_2000
Tarabuco,2013,0,1697.45889058709,0
Tarabuco,2014,0,1697.45889058709,0
Tarabuco,2015,0,1697.45889058709,0
Tarabuco,2016,0.0727972537279129,1697.45889058709,0.00428860187021878
Tarabuco,2017,0.145660221576691,1697.45889058709,0.00858107506369783
Tarabuco,2018,0,1697.45889058709,0
Tarabuco,2019,0,1697.45889058709,0
Tarabuco,2020,0,1697.45889058709,0
Tarabuco,2021,0,1697.45889058709,0
Tarabuco,2022,0,1697.45889058709,0
Tarabuco,2023,0,1697.45889058709,0
Taraco,2001,0,7.23903608322144,0
Taraco,2002,0,7.23903608322144,0
Taraco,2003,0,7.23903608322144,0
Taraco,2004,0,7.23903608322144,0
Taraco,2005,0,7.23903608322144,0
Taraco,2006,0,7.23903608322144,0
Taraco,2007,0.369297005236149,7.23903608322144,5.10146656254555
Taraco,2008,0,7.23903608322144,0
Taraco,2009,0,7.23903608322144,0
Taraco,2010,0,7.23903608322144,0
Taraco,2011,0,7.23903608322144,0
Taraco,2012,0,7.23903608322144,0
Taraco,2013,0,7.23903608322144,0
Taraco,2014,0,7.23903608322144,0
Taraco,2015,0,7.23903608322144,0
Taraco,2016,0,7.23903608322144,0
Taraco,2017,0,7.23903608322144,0
Taraco,2018,0,7.23903608322144,0
Taraco,2019,0,7.23903608322144,0
Taraco,2020,0,7.23903608322144,0
Taraco,2021,0,7.23903608322144,0
Taraco,2022,0,7.23903608322144,0
Taraco,2023,0,7.23903608322144,0
Tarata,2001,0.587316907942295,640.010207034648,0.0917668033238883
Tarata,2002,0,640.010207034648,0
Tarata,2003,0,640.010207034648,0
Tarata,2004,0,640.010207034648,0
Tarata,2005,0,640.010207034648,0
Tarata,2006,0,640.010207034648,0
Tarata,2007,0,640.010207034648,0
Tarata,2008,0,640.010207034648,0
Tarata,2009,0,640.010207034648,0
Tarata,2010,0,640.010207034648,0
Tarata,2011,0,640.010207034648,0
Tarata,2012,0,640.010207034648,0
Tarata,2013,0.220122762024403,640.010207034648,0.034393633039744
Tarata,2014,0.0733744204044342,640.010207034648,0.0114645703455886
Tarata,2015,0,640.010207034648,0
Tarata,2016,0,640.010207034648,0
Tarata,2017,0,640.010207034648,0
Tarata,2018,0,640.010207034648,0
Tarata,2019,0,640.010207034648,0
Tarata,2020,0,640.010207034648,0
Tarata,2021,0,640.010207034648,0
Tarata,2022,0,640.010207034648,0
Tarata,2023,0,640.010207034648,0
Tarija,2001,2.57929112762213,43569.0211765915,0.0059200116458157
Tarija,2002,18.8320996984839,43569.0211765915,0.0432236005995056
Tarija,2003,18.0395777523518,43569.0211765915,0.0414045972693184
Tarija,2004,11.4531381651759,43569.0211765915,0.0262873432909009
Tarija,2005,3.79533357173204,43569.0211765915,0.00871108294204961
Tarija,2006,12.2484292536974,43569.0211765915,0.0281127023810169
Tarija,2007,8.95620470494032,43569.0211765915,0.0205563596864835
Tarija,2008,6.01815649867058,43569.0211765915,0.0138129256433789
Tarija,2009,15.9733498096466,43569.0211765915,0.0366621727509193
Tarija,2010,6.73244739323854,43569.0211765915,0.0154523723770405
Tarija,2011,23.994212731719,43569.0211765915,0.0550717277637866
Tarija,2012,24.4917766749859,43569.0211765915,0.0562137408956634
Tarija,2013,12.6076710522175,43569.0211765915,0.0289372373116136
Tarija,2014,1.79139842092991,43569.0211765915,0.00411163338664211
Tarija,2015,2.64977245777845,43569.0211765915,0.0060817810137128
Tarija,2016,6.15959553420544,43569.0211765915,0.0141375577597663
Tarija,2017,3.00777084380388,43569.0211765915,0.00690346205303294
Tarija,2018,1.43185979127884,43569.0211765915,0.00328641716662696
Tarija,2019,23.3389117494226,43569.0211765915,0.0535676751947825
Tarija,2020,3.5808095112443,43569.0211765915,0.00821870543460401
Tarija,2021,0.930867277085781,43569.0211765915,0.00213653474865281
Tarija,2022,10.0248425453901,43569.0211765915,0.0230091066419831
Tarija,2023,0,43569.0211765915,0
Tarvita,2001,27.844161696732,26978.8879746869,0.103207225304679
Tarvita,2002,23.2816588580608,26978.8879746869,0.0862958431789515
Tarvita,2003,36.8362072855234,26978.8879746869,0.136537159426605
Tarvita,2004,16.2469645515084,26978.8879746869,0.0602210312254242
Tarvita,2005,6.96371441334486,26978.8879746869,0.0258117177397326
Tarvita,2006,11.096579067409,26978.8879746869,0.0411306021131059
Tarvita,2007,5.14904005080462,26978.8879746869,0.0190854421265833
Tarvita,2008,16.6121322363615,26978.8879746869,0.0615745624947475
Tarvita,2009,25.2372111305594,26978.8879746869,0.0935442971342569
Tarvita,2010,3.2646052017808,26978.8879746869,0.0121005921550356
Tarvita,2011,28.7875501811504,26978.8879746869,0.106703990943439
Tarvita,2012,6.23827379196882,26978.8879746869,0.0231227980850134
Tarvita,2013,17.4084427505732,26978.8879746869,0.0645261686356633
Tarvita,2014,17.4067191854119,26978.8879746869,0.0645197800655975
Tarvita,2015,11.3860638812184,26978.8879746869,0.0422036071016028
Tarvita,2016,65.4207196831703,26978.8879746869,0.242488570116573
Tarvita,2017,77.7480457350612,26978.8879746869,0.288181061458162
Tarvita,2018,0.579966902732849,26978.8879746869,0.00214970647892161
Tarvita,2019,108.430205352604,26978.8879746869,0.401907615518992
Tarvita,2020,71.7280739471316,26978.8879746869,0.265867422016915
Tarvita,2021,30.9721183106303,26978.8879746869,0.114801315531204
Tarvita,2022,42.5711530745029,26978.8879746869,0.15779432093141
Tarvita,2023,40.7602043747902,26978.8879746869,0.151081854867531
Teoponte,2001,341.550482645631,131961.48182454,0.258825892164327
Teoponte,2002,877.998825445771,131961.48182454,0.6653447758439
Teoponte,2003,610.60387699306,131961.48182454,0.462713716571431
Teoponte,2004,587.463523976505,131961.48182454,0.445178029114296
Teoponte,2005,462.322671301663,131961.48182454,0.350346680644571
Teoponte,2006,390.997949518263,131961.48182454,0.296297028581528
Teoponte,2007,404.233792349696,131961.48182454,0.306327109062915
Teoponte,2008,636.396053694189,131961.48182454,0.482258947758985
Teoponte,2009,592.507357642055,131961.48182454,0.449000230559605
Teoponte,2010,671.197845339775,131961.48182454,0.508631637095605
Teoponte,2011,276.228081390262,131961.48182454,0.209324779906264
Teoponte,2012,410.012237757444,131961.48182454,0.31070599699889
Teoponte,2013,449.015688441694,131961.48182454,0.340262690471088
Teoponte,2014,798.542823977769,131961.48182454,0.605133265356582
Teoponte,2015,266.56300380826,131961.48182454,0.202000614211571
Teoponte,2016,569.748671203852,131961.48182454,0.43175376884704
Teoponte,2017,1150.52975818515,131961.48182454,0.871867868015404
Teoponte,2018,619.063081584871,131961.48182454,0.469124075469233
Teoponte,2019,845.886758692563,131961.48182454,0.641010351654949
Teoponte,2020,977.895626857877,131961.48182454,0.741046260876427
Teoponte,2021,611.159870520234,131961.48182454,0.463135046734965
Teoponte,2022,763.586219802499,131961.48182454,0.578643259567052
Teoponte,2023,1261.4870050624,131961.48182454,0.955950924179312
Tiahuanacu,2001,0,16.3235738798976,0
Tiahuanacu,2002,0,16.3235738798976,0
Tiahuanacu,2003,0,16.3235738798976,0
Tiahuanacu,2004,0.51706200838089,16.3235738798976,3.16757844933486
Tiahuanacu,2005,0,16.3235738798976,0
Tiahuanacu,2006,0,16.3235738798976,0
Tiahuanacu,2007,0,16.3235738798976,0
Tiahuanacu,2008,0,16.3235738798976,0
Tiahuanacu,2009,3.10239214450121,16.3235738798976,19.0055937953746
Tiahuanacu,2010,0,16.3235738798976,0
Tiahuanacu,2011,0,16.3235738798976,0
Tiahuanacu,2012,0,16.3235738798976,0
Tiahuanacu,2013,0,16.3235738798976,0
Tiahuanacu,2014,0,16.3235738798976,0
Tiahuanacu,2015,0,16.3235738798976,0
Tiahuanacu,2016,0,16.3235738798976,0
Tiahuanacu,2017,0,16.3235738798976,0
Tiahuanacu,2018,0,16.3235738798976,0
Tiahuanacu,2019,0,16.3235738798976,0
Tiahuanacu,2020,0,16.3235738798976,0
Tiahuanacu,2021,0,16.3235738798976,0
Tiahuanacu,2022,0,16.3235738798976,0
Tiahuanacu,2023,0,16.3235738798976,0
Tinguipaya,2001,0,8.29551653563976,0
Tinguipaya,2002,0,8.29551653563976,0
Tinguipaya,2003,0,8.29551653563976,0
Tinguipaya,2004,0,8.29551653563976,0
Tinguipaya,2005,0,8.29551653563976,0
Tinguipaya,2006,0,8.29551653563976,0
Tinguipaya,2007,0,8.29551653563976,0
Tinguipaya,2008,0,8.29551653563976,0
Tinguipaya,2009,0,8.29551653563976,0
Tinguipaya,2010,0,8.29551653563976,0
Tinguipaya,2011,0,8.29551653563976,0
Tinguipaya,2012,0,8.29551653563976,0
Tinguipaya,2013,0,8.29551653563976,0
Tinguipaya,2014,0,8.29551653563976,0
Tinguipaya,2015,0,8.29551653563976,0
Tinguipaya,2016,0,8.29551653563976,0
Tinguipaya,2017,0,8.29551653563976,0
Tinguipaya,2018,0,8.29551653563976,0
Tinguipaya,2019,0,8.29551653563976,0
Tinguipaya,2020,0,8.29551653563976,0
Tinguipaya,2021,0,8.29551653563976,0
Tinguipaya,2022,0,8.29551653563976,0
Tinguipaya,2023,0,8.29551653563976,0
Tipuani,2001,7.34443048387766,21864.159449175,0.033591186073036
Tipuani,2002,5.56351601332426,21864.159449175,0.0254458261990684
Tipuani,2003,3.93151069432497,21864.159449175,0.0179815313891398
Tipuani,2004,8.75369103252888,21864.159449175,0.0400367142074569
Tipuani,2005,7.12061256170273,21864.159449175,0.0325675111282241
Tipuani,2006,18.0994424894452,21864.159449175,0.0827813323055882
Tipuani,2007,14.3902567327023,21864.159449175,0.0658166474048708
Tipuani,2008,12.7581560090184,21864.159449175,0.0583519162429993
Tipuani,2009,20.102985881269,21864.159449175,0.0919449289966989
Tipuani,2010,25.3685128465295,21864.159449175,0.116027844132315
Tipuani,2011,33.6015041470528,21864.159449175,0.153683036501642
Tipuani,2012,49.5501916259527,21864.159449175,0.226627471049761
Tipuani,2013,36.7926460802555,21864.159449175,0.168278346879893
Tipuani,2014,41.4680331125855,21864.159449175,0.189662141867294
Tipuani,2015,35.8340792059898,21864.159449175,0.163894154217495
Tipuani,2016,9.42088477313519,21864.159449175,0.0430882549820165
Tipuani,2017,58.8257461190224,21864.159449175,0.269051029634904
Tipuani,2018,12.6850697249174,21864.159449175,0.0580176418599804
Tipuani,2019,40.2099584266543,21864.159449175,0.183908091779726
Tipuani,2020,38.8751433268189,21864.159449175,0.177803054433386
Tipuani,2021,15.8012881502509,21864.159449175,0.0722702749537767
Tipuani,2022,13.2042747661471,21864.159449175,0.0603923274381599
Tipuani,2023,9.12451723217964,21864.159449175,0.041732760197758
Tiquipaya,2001,0.808761619031429,233.098927527666,0.346960677858734
Tiquipaya,2002,0.661633647978306,233.098927527666,0.283842424757522
Tiquipaya,2003,2.35269808024168,233.098927527666,1.00931312949196
Tiquipaya,2004,0.147047743201256,233.098927527666,0.0630838351599893
Tiquipaya,2005,0.661671414971352,233.098927527666,0.283858626888285
Tiquipaya,2006,1.10283526778221,233.098927527666,0.473118979773649
Tiquipaya,2007,1.54387860000134,233.098927527666,0.662327629035571
Tiquipaya,2008,0.955735415220261,233.098927527666,0.410012789572713
Tiquipaya,2009,0.808675430715084,233.098927527666,0.346923702863928
Tiquipaya,2010,0.220553874969482,233.098927527666,0.0946181423092585
Tiquipaya,2011,1.39694475382566,233.098927527666,0.59929265597323
Tiquipaya,2012,1.32333852350712,233.098927527666,0.567715406305357
Tiquipaya,2013,0,233.098927527666,0
Tiquipaya,2014,0.0735199153423309,233.098927527666,0.0315402203356791
Tiquipaya,2015,0,233.098927527666,0
Tiquipaya,2016,0,233.098927527666,0
Tiquipaya,2017,0.294085815548897,233.098927527666,0.126163521500541
Tiquipaya,2018,0,233.098927527666,0
Tiquipaya,2019,0,233.098927527666,0
Tiquipaya,2020,0,233.098927527666,0
Tiquipaya,2021,0,233.098927527666,0
Tiquipaya,2022,0,233.098927527666,0
Tiquipaya,2023,0,233.098927527666,0
Tiraque,2001,60.68317142874,108361.709219784,0.0560005668659766
Tiraque,2002,30.8941838145256,108361.709219784,0.0285102404133039
Tiraque,2003,28.5446988418698,108361.709219784,0.0263420529699973
Tiraque,2004,42.9513988494873,108361.709219784,0.039637062906023
Tiraque,2005,101.858828924596,108361.709219784,0.0939989131382213
Tiraque,2006,88.7673240303993,108361.709219784,0.0819176115525807
Tiraque,2007,88.1605240628123,108361.709219784,0.0813576351808937
Tiraque,2008,102.605988100171,108361.709219784,0.0946884179282015
Tiraque,2009,59.6576607748866,108361.709219784,0.0550541895328419
Tiraque,2010,63.188211761415,108361.709219784,0.0583123062716316
Tiraque,2011,72.3072076365352,108361.709219784,0.0667276366874934
Tiraque,2012,45.3060459941626,108361.709219784,0.0418100141833967
Tiraque,2013,15.0793821364641,108361.709219784,0.0139157846854183
Tiraque,2014,30.5174672976136,108361.709219784,0.0281625931496862
Tiraque,2015,12.5768751725554,108361.709219784,0.0116063831616448
Tiraque,2016,319.772520899773,108361.709219784,0.295097339458902
Tiraque,2017,85.4668335095048,108361.709219784,0.0788718027104552
Tiraque,2018,67.3616356477141,108361.709219784,0.0621636887538278
Tiraque,2019,55.2351540476084,108361.709219784,0.0509729446363551
Tiraque,2020,10.2973464131355,108361.709219784,0.00950275377462904
Tiraque,2021,67.3733166828752,108361.709219784,0.0621744684242899
Tiraque,2022,31.4136308059096,108361.709219784,0.0289896043834038
Tiraque,2023,32.2238754183054,108361.709219784,0.0297373266353225
Tito Yupanqui,2001,0,1.92298903316259,0
Tito Yupanqui,2002,0,1.92298903316259,0
Tito Yupanqui,2003,0,1.92298903316259,0
Tito Yupanqui,2004,0,1.92298903316259,0
Tito Yupanqui,2005,0,1.92298903316259,0
Tito Yupanqui,2006,0,1.92298903316259,0
Tito Yupanqui,2007,0,1.92298903316259,0
Tito Yupanqui,2008,0,1.92298903316259,0
Tito Yupanqui,2009,0,1.92298903316259,0
Tito Yupanqui,2010,0,1.92298903316259,0
Tito Yupanqui,2011,0,1.92298903316259,0
Tito Yupanqui,2012,0,1.92298903316259,0
Tito Yupanqui,2013,0,1.92298903316259,0
Tito Yupanqui,2014,0,1.92298903316259,0
Tito Yupanqui,2015,0,1.92298903316259,0
Tito Yupanqui,2016,0,1.92298903316259,0
Tito Yupanqui,2017,0,1.92298903316259,0
Tito Yupanqui,2018,0,1.92298903316259,0
Tito Yupanqui,2019,0,1.92298903316259,0
Tito Yupanqui,2020,0,1.92298903316259,0
Tito Yupanqui,2021,0,1.92298903316259,0
Tito Yupanqui,2022,0,1.92298903316259,0
Tito Yupanqui,2023,0,1.92298903316259,0
Toco,2001,0,4.1830742880702,0
Toco,2002,0,4.1830742880702,0
Toco,2003,0,4.1830742880702,0
Toco,2004,0,4.1830742880702,0
Toco,2005,0,4.1830742880702,0
Toco,2006,0,4.1830742880702,0
Toco,2007,0,4.1830742880702,0
Toco,2008,0,4.1830742880702,0
Toco,2009,0,4.1830742880702,0
Toco,2010,0,4.1830742880702,0
Toco,2011,0,4.1830742880702,0
Toco,2012,0,4.1830742880702,0
Toco,2013,0,4.1830742880702,0
Toco,2014,0,4.1830742880702,0
Toco,2015,0,4.1830742880702,0
Toco,2016,0,4.1830742880702,0
Toco,2017,0,4.1830742880702,0
Toco,2018,0,4.1830742880702,0
Toco,2019,0,4.1830742880702,0
Toco,2020,0,4.1830742880702,0
Toco,2021,0,4.1830742880702,0
Toco,2022,0,4.1830742880702,0
Toco,2023,0,4.1830742880702,0
Todos Santos,2001,0,0,0
Todos Santos,2002,0,0,0
Todos Santos,2003,0,0,0
Todos Santos,2004,0,0,0
Todos Santos,2005,0,0,0
Todos Santos,2006,0,0,0
Todos Santos,2007,0,0,0
Todos Santos,2008,0,0,0
Todos Santos,2009,0,0,0
Todos Santos,2010,0,0,0
Todos Santos,2011,0,0,0
Todos Santos,2012,0,0,0
Todos Santos,2013,0,0,0
Todos Santos,2014,0,0,0
Todos Santos,2015,0,0,0
Todos Santos,2016,0,0,0
Todos Santos,2017,0,0,0
Todos Santos,2018,0,0,0
Todos Santos,2019,0,0,0
Todos Santos,2020,0,0,0
Todos Santos,2021,0,0,0
Todos Santos,2022,0,0,0
Todos Santos,2023,0,0,0
Tolata,2001,0.14692073315382,149.180400535464,0.0984852786468374
Tolata,2002,0,149.180400535464,0
Tolata,2003,0,149.180400535464,0
Tolata,2004,0,149.180400535464,0
Tolata,2005,0,149.180400535464,0
Tolata,2006,0,149.180400535464,0
Tolata,2007,0,149.180400535464,0
Tolata,2008,0,149.180400535464,0
Tolata,2009,0.146889641880989,149.180400535464,0.0984644372543224
Tolata,2010,0,149.180400535464,0
Tolata,2011,0,149.180400535464,0
Tolata,2012,0,149.180400535464,0
Tolata,2013,0.146912060678005,149.180400535464,0.0984794652318152
Tolata,2014,0.073443740606308,149.180400535464,0.0492314944474548
Tolata,2015,0,149.180400535464,0
Tolata,2016,0,149.180400535464,0
Tolata,2017,0,149.180400535464,0
Tolata,2018,0,149.180400535464,0
Tolata,2019,0,149.180400535464,0
Tolata,2020,0,149.180400535464,0
Tolata,2021,0,149.180400535464,0
Tolata,2022,0,149.180400535464,0
Tolata,2023,0,149.180400535464,0
Toledo,2001,0,37.095068693161,0
Toledo,2002,0,37.095068693161,0
Toledo,2003,0,37.095068693161,0
Toledo,2004,0,37.095068693161,0
Toledo,2005,0,37.095068693161,0
Toledo,2006,0,37.095068693161,0
Toledo,2007,0,37.095068693161,0
Toledo,2008,0,37.095068693161,0
Toledo,2009,0.292091891169548,37.095068693161,0.787414342282642
Toledo,2010,0,37.095068693161,0
Toledo,2011,0,37.095068693161,0
Toledo,2012,0,37.095068693161,0
Toledo,2013,0,37.095068693161,0
Toledo,2014,0,37.095068693161,0
Toledo,2015,0,37.095068693161,0
Toledo,2016,0,37.095068693161,0
Toledo,2017,0,37.095068693161,0
