muni_key,year,dept,muni_rel,muni_code,muni_name,agro_strict_bob_mm,p10_agropecuario_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct,area_antropico_ha,area_natural_ha,area_total_ha,antropico_share_pct,natural_share_pct,lc_antrop_1985_kha,lc_antrop_2024_kha,lc_change_antrop_ha,lc_change_antrop_pp,gasto_agrop_por_ha_antrop,gasto_por_ha_natural
ACHOCALLA,2020,La Paz,33,1204,Achocalla,0.445,0.445,9.81625,115.052259,0.386780758472548,0.386780758472548,7976.15084445198,11510.7325903991,19486.8834348511,40.9308695827016,59.0691304172985,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,55.7913219895448,38.6595724038595
ACHOCALLA,2021,La Paz,33,1204,Achocalla,2.731045,0.4577,13.78978,118.943986,2.29607657506955,0.384802977764677,8172.11125222776,11314.7721826231,19486.8834348509,41.9364711630211,58.063528836979,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,334.190873778854,241.36986197515
AGUST IN SAAVEDRA,2012,Santa Cruz,281,1735,Agustín Saavedra,1.241109,1.241109,5.015028,28.890069,4.29597104804423,4.29597104804423,,,,,,,,,,,
AGUST IN SAAVEDRA,2013,Santa Cruz,281,1735,Agustín Saavedra,0.05135,0.05135,4.888221,30.13543,0.17039743584213,0.17039743584213,,,,,,,,,,,
AGUST IN SAAVEDRA,2014,Santa Cruz,281,1735,Agustín Saavedra,0.08,0.08,2.568503,24.072268,0.332332624412457,0.332332624412457,,,,,,,,,,,
AGUST IN SAAVEDRA,2015,Santa Cruz,281,1735,Agustín Saavedra,1.057433,1.057433,4.537511,29.126038,3.63054185399332,3.63054185399332,,,,,,,,,,,
AGUST IN SAAVEDRA,2016,Santa Cruz,281,1735,Agustín Saavedra,0.618477,0.618477,4.386634,29.689389,2.08315839709601,2.08315839709601,,,,,,,,,,,
AGUST IN SAAVEDRA,2017,Santa Cruz,281,1735,Agustín Saavedra,0.121303,0.121303,4.225507,27.907227,0.434665185473283,0.434665185473283,,,,,,,,,,,
AGUST IN SAAVEDRA,2018,Santa Cruz,281,1735,Agustín Saavedra,0.241776,0.241776,4.892867,34.521203,0.700369567074473,0.700369567074473,,,,,,,,,,,
AGUST IN SAAVEDRA,2019,Santa Cruz,281,1735,Agustín Saavedra,0.05,0.05,5.12734,30.747234,0.162616253546579,0.162616253546579,,,,,,,,,,,
