dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,pib_agrop_corriente_mm,pib_agrop_constante_mm,pib_total_corriente_mm,pib_total_constante_mm,pib_agrop_share_pct,ena2015_upas,ena2015_sup_ha,ena2015_sup_exp_ha,ena2015_prod_exp_ton,ena2015_riego_pct,gasto_por_pib_agrop_ratio
CHUQUISACA,2016,57684811,29304466,192170640,280097496,25403054,3901412,,,,169.9,29.304466,57.684811,192.17064,280.097496,25.403054,3.901412,103.623214317642,6.91,28.2798272500711,55.6678456462233,185.451340479488,270.303809667013,,,,,,,,,,,,
CHUQUISACA,2017,42752265,23855701,132438667,209283485,18404593,5451108,1120.70733992623,15203.6521813434,7.37130346418647,154,23.855701,42.752265,132.438667,209.283485,18.404593,5.451108,106.548246947132,6.91,22.3895762563198,40.1247943771551,124.299245454235,196.421331177645,21286.2896048939,1120.70733992623,100,,,,,,,,,0.0381475729451492
CHUQUISACA,2018,83824748,24679641,174456928,292539362,19048983,5630658,1213.42536451351,15717.1130668193,7.72040869945253,147,24.679641,83.824748,174.456928,292.539362,19.048983,5.630658,108.969086910658,6.91,22.6482956769514,76.9252550209275,160.09763222393,268.460872981204,20338.8207645508,1213.42536451351,108.273170102855,,,,,,,,,0.0690810909772001
CHUQUISACA,2019,98695344,23492150,246596102,399018789,20889680,2602470,1238.03288880189,15882.0453061463,7.79517288193845,157.5,23.49215,98.695344,246.596102,399.018789,20.88968,2.60247,110.973622354616,6.91,21.1691296558122,88.9358587256162,222.211455990869,359.561831481842,18975.3844283851,1238.03288880189,110.46888377508,,,,,,,,,0.0797194847509364
CHUQUISACA,2020,31326026,30795281,149755272,208749952,21228585,9566696,1247.79680925016,13961.5868919999,8.93735661212805,158.9,30.795281,31.326026,149.755272,208.749952,21.228585,9.566696,112.017597999241,6.91,27.4914670105752,27.9652720282507,133.68905839332,186.354604748278,24679.7241118976,1247.79680925016,111.340112159192,,,,,,,,,0.0251050698060566
CHUQUISACA,2021,32979099,13090679,44371434,81541616,12414847,675832,1341.39140577529,14352.7277802932,9.34589874697594,159,13.090679,32.979099,44.371434,81.541616,12.414847,0.675832,112.843597532049,6.91,11.6007281638483,29.2254941540955,39.3211799077905,72.2607376788401,9759.03002184055,1341.39140577529,119.691498216081,,,,,,,,,0.0245857390005708
COCHABAMBA,2012,92803613,24750389,375013089,526167253,16724549,8025840,,,,107.1,24.750389,92.803613,375.013089,526.167253,16.724549,8.02584,85.9299851602867,6.91,28.8029713421138,107.999102789197,436.417029865048,612.32089359556,,,,,,,,,,,,
COCHABAMBA,2013,81583153,28034620,566546633,724286161,23175687,4858933,,,,187.6,28.03462,81.583153,566.546633,724.286161,23.175687,4.858933,90.8592730328446,6.91,30.8549904310436,89.7906732871488,623.54299576577,797.151613504742,,,,,,,,,,,,
COCHABAMBA,2014,84231876,31106817,571843010,739807026,24056647,7050170,,,,200.5,31.106817,84.231876,571.84301,739.807026,24.056647,7.05017,96.0987645491769,6.91,32.3696325815735,87.6513620077767,595.057608370573,769.840309051441,,,,,,,,,,,,
COCHABAMBA,2015,107776362,40630499,529743631,713393188,31536202,9094297,,,,188.4,40.630499,107.776362,529.743631,713.393188,31.536202,9.094297,100,6.91,40.630499,107.776362,529.743631,713.393188,,,,,,,2074,24890.0328500001,1075056.60634791,39035656.637134,9.13299257401871,
COCHABAMBA,2016,80048784,39430331,702961921,856212608,28944197,10486134,,,,174.2,39.430331,80.048784,702.961921,856.212608,28.944197,10.486134,103.623214317642,6.91,38.0516385827717,77.249856151559,678.382663217889,826.274897606829,,,,,,,,,,,,
COCHABAMBA,2017,77024352,37615261,523904546,682019412,27004009,10611252,4952.51052761756,55345.8566578135,8.94829500650323,163.1,37.615261,77.024352,523.904546,682.019412,27.004009,10.611252,106.548246947132,6.91,35.3035005997465,72.2905859147723,491.706396877611,640.103832340303,7595.19051806944,4952.51052761756,100,,,,,,,,,0.0155525872323694
