municipio,dept,area_antropico_1985,area_antropico_2024,area_natural_1985,area_natural_2024,antropico_share_1985,antropico_share_2024,cambio_antrop_ha,cambio_antrop_pct,cambio_natural_ha,cambio_antrop_share_pp
Comarapa,Santa Cruz,3723.12523358766,18050.485692102,286380.299840819,272052.939382286,1.28337858563122,6.22208637746124,14327.3604585143,384.820804018678,-14327.3604585333,4.93870779183002
Combaya,La Paz,1735.15879244385,3269.68539314575,8130.27012628778,6595.74352558593,17.588275246191,33.1428609955066,1534.52660070191,88.4372431724612,-1534.52660070185,15.5545857493156
Concepción,Santa Cruz,8111.52648494875,309427.048726209,3505120.72172263,3203805.19948128,0.230885005939678,8.80747490815855,301315.52224126,3714.65867491603,-301315.522241348,8.57658990221887
Copacabana,La Paz,3009.38909415286,5207.88004971927,14338.5565346921,12140.0655791258,17.3472361427572,30.0201543234026,2198.49095556642,73.0543936587666,-2198.49095556627,12.6729181806454
Coripata,La Paz,5250.46011708342,9764.14427543256,63876.5920555639,59362.907897211,7.59537684895084,14.1249250019324,4513.68415834913,85.9674020504024,-4513.68415835293,6.52954815298152
Coro Coro,La Paz,41672.9130364802,32647.0049430058,72012.5518330834,81038.4599265597,36.656324609565,28.7169560158483,-9025.90809347432,-21.6589324714908,9025.90809347632,-7.93936859371664
Coroico,La Paz,5703.92205004282,10363.1789146119,102706.712060233,98047.4551956554,5.26140456317298,9.55919038723753,4659.2568645691,81.685142673612,-4659.25686457781,4.29778582406455
Corque,Oruro,10091.6974620786,36012.9901351189,326039.442695225,300118.150022227,3.00230959183247,10.7139701838577,25921.2926730404,256.857607656635,-25921.2926729979,7.71166059202521
Cotagaita,Potosi,4957.15172733761,5352.35415922852,637701.32964069,637306.127208801,0.771350860691253,0.832845798258968,395.202431890906,7.97236908669651,-395.202431889018,0.0614949375677146
Cotoca,Santa Cruz,31728.1916923999,53971.188914867,30274.1666709582,8031.16944848646,51.1725562219106,87.0469935975318,22242.9972224671,70.104837483679,-22242.9972224717,35.8744373756212
Cruz de Machacamarca,Oruro,1558.27272953491,1912.61949468994,50519.7203596944,50165.3735945412,2.99219043803204,3.67260599196447,354.346765155035,22.7397142001449,-354.346765153285,0.680415553932428
Cuatro Cañadas,Santa Cruz,20757.8532333434,388140.783838411,428120.431895386,60737.5012901853,4.62438347343768,86.4690488931125,367382.930605068,1769.85031387995,-367382.930605201,81.8446654196749
Cuchumuela (V. G.Villarroel),Cochabamba,977.66587023315,2847.35381384886,5372.70896894533,3503.02102532965,15.3954041295557,44.8375707884544,1869.68794361571,191.239972729112,-1869.68794361567,29.4421666588987
Cuevo,Santa Cruz,2723.45128483887,4715.61950678714,84589.9442143974,82597.7759924494,3.11916776259456,5.40079730014437,1992.16822194827,73.1486637208618,-1992.16822194806,2.28162953754981
Culpina,Chuquisaca,12422.8296963197,23425.0219535527,382591.974933268,371589.782676007,3.14490230510952,5.93016304174231,11002.192257233,88.5643007767577,-11002.1922572604,2.78526073663279
Curahuara de Carangas,Oruro,4544.67947855845,5044.9085449586,278607.14129209,278106.91222569,1.60503275811163,1.78169737041703,500.229066400152,11.0069163020232,-500.229066400032,0.176664612305401
Curva,La Paz,718.312507855226,1456.32999041137,58838.5649477162,58100.5474651611,1.20609497768092,2.44527593223427,738.017482556147,102.743231460602,-738.017482555093,1.23918095455335
Desaguadero,La Paz,2441.75668486945,5834.75833838493,6506.04867351693,3113.04702000123,27.2888891417481,65.2088205396244,3393.00165351547,138.957402043393,-3393.0016535157,37.9199313978764
El Alto,La Paz,12668.7620427227,20277.3754526533,22218.4515998586,14609.8381899288,36.3134819894586,58.1226568002652,7608.61340993068,60.0580655337299,-7608.61340992974,21.8091748108066
El Choro,Oruro,31280.8390937927,61905.9097818071,99903.1642154334,69278.0935274228,23.8450102944775,47.1901361600325,30625.0706880144,97.9036099261529,-30625.0706880106,23.3451258655549
El Puente,Santa Cruz,6847.93829416508,227465.053103937,668060.30791828,447443.193108405,1.0146472994804,33.703107701009,220617.114809771,3221.65745853395,-220617.114809874,32.6884604015286
El Sena,Pando,2220.06386959838,8976.48300672601,757492.74185985,750736.322722709,0.292224094796817,1.18156268250701,6756.41913712763,304.334448645835,-6756.4191371412,0.889338587710198
El Torno,Santa Cruz,12500.5325728333,24935.0035080569,83518.1933058318,71083.7223706132,13.0188486239962,25.9688964625139,12434.4709352236,99.4715294150484,-12434.4709352186,12.9500478385177
El Villar,Chuquisaca,1367.03651130369,4838.04299478149,88214.1093113865,84743.1028279044,1.52603150891762,5.40073801283784,3471.0064834778,253.907372244771,-3471.00648348211,3.87470650392022
Entre Ríos (Bulo Bulo),Cochabamba,5691.38158477785,53541.1458911391,204484.736828221,156634.972521876,2.70791069306657,25.4744194037906,47849.7643063613,840.740751495913,-47849.7643063447,22.7665087107241
Entre Ríos (La Moreta),Tarija,9944.34236893313,25569.7894321595,493545.684556097,477920.237492894,1.97508229302302,5.07850961583508,15625.4470632263,157.129013498584,-15625.4470632037,3.10342732281205
Escara,Oruro,2365.93390345464,2462.19752081301,113504.363449204,113408.099831845,2.04188127372606,2.12496004331392,96.2636173583746,4.06873654491423,-96.2636173588253,0.0830787695878601
Escoma,La Paz,5117.67300338741,4728.49049910886,6754.06590009804,7143.24840437654,43.1080319824495,39.8298053684506,-389.182504278541,-7.60467704796575,389.1825042785,-3.27822661399893
Esmeralda,Oruro,1914.0718007507,1711.36686071163,58312.5967279753,58515.3016680048,3.17811336324829,2.84154329389088,-202.704940039065,-10.5902474483749,202.704940029405,-0.33657006935741
Eucaliptus,Oruro,4610.21587818619,16319.7031718691,28611.3203360351,16901.833042353,13.8771905322448,49.1238667189708,11709.4872936829,253.989999667646,-11709.4872936821,35.246676186726
Exaltación,Beni,146617.684845789,215046.525350053,2346989.14593669,2278560.30543312,5.87974347181995,8.62391467232678,68428.8405042639,46.6716143937456,-68428.840503566,2.74417120050683
Fernández Alonso,Santa Cruz,31053.5784512122,70742.1562496742,45021.9690652643,5333.39126679679,40.8193952787348,92.989348823757,39688.577798462,127.806777118508,-39688.5777984675,52.1699535450222
Filadelfia,Pando,3089.34204630739,28957.482808313,1166341.76287298,1140473.62211095,0.264174779797789,2.47620254724729,25868.1407620056,837.334952694059,-25868.1407620297,2.2120277674495
General Saavedra,Santa Cruz,35611.5433388395,50362.0286889971,17365.7483469297,2615.26299675904,67.2203923712573,95.0634263973479,14750.4853501577,41.4205169649868,-14750.4853501706,27.8430340260907
Guanay,La Paz,7971.83647407834,26608.815564545,386027.12769025,367390.148599791,2.02331406910843,6.75352424364408,18636.9790904667,233.785265805034,-18636.9790904582,4.73021017453565
Guaqui,La Paz,7943.92455561545,13360.1398123843,11623.217073798,6207.00181702866,40.5982882225072,68.2784438596877,5416.21525676888,68.1805978751427,-5416.2152567693,27.6801556371805
