dept,year,actividad,constante_chain2017_mm,corriente_bob_mm
BOLIVIA,2020,103.205466701215,95.4309294623435,
BOLIVIA,2020,103.377220679292,91.8304807652227,
BOLIVIA,2020,104.049487022101,91.6258590354349,
BOLIVIA,2020,108.173325244495,102.89694446655,
BOLIVIA,2020,108.940492697622,91.368940131569,
BOLIVIA,2020,109.661862695076,87.7633345000441,
BOLIVIA,2020,11229.7505175603,,10681.9958873125
BOLIVIA,2020,12202.0653324169,,10709.3391143974
BOLIVIA,2020,15717.1130668193,,13961.5868919999
BOLIVIA,2020,21614.0929775225,,17297.9450219254
BOLIVIA,2020,23559.4243466515,,19536.7218063128
BOLIVIA,2020,326460.72153827,,289229.851737496
BOLIVIA,2020,3579.32528637268,,3001.99815242009
BOLIVIA,2020,57587.0799404421,,50711.1166032421
BOLIVIA,2020,82493.5031246108,,72412.7858831526
BOLIVIA,2020,96.6876806764757,80.1785430611503,
BOLIVIA,2020,98478.366945874,,91059.925311765
BOLIVIA,2021,100.893421159141,100.858804273847,
BOLIVIA,2021,102.682940242837,105.104285197328,
BOLIVIA,2021,102.868084782846,100.276736553628,
BOLIVIA,2021,103.205466701215,103.727991031515,
BOLIVIA,2021,103.377220679292,94.4031579327082,
BOLIVIA,2021,104.049487022101,98.8196821412724,
BOLIVIA,2021,108.173325244495,108.844306032811,
BOLIVIA,2021,108.940492697622,108.75765576131,
BOLIVIA,2021,109.661862695076,101.365202812367,
BOLIVIA,2021,11229.7505175603,,11299.4067552496
BOLIVIA,2021,12202.0653324169,,12489.7996849506
BOLIVIA,2021,15717.1130668193,,14352.7277802933
BOLIVIA,2021,21614.0929775225,,19978.8409974756
BOLIVIA,2021,23559.4243466515,,20419.3276167815
BOLIVIA,2021,326460.72153827,,318236.854879788
BOLIVIA,2021,3579.32528637268,,3573.31803550371
BOLIVIA,2021,57587.0799404421,,54692.5996276155
BOLIVIA,2021,82493.5031246108,,82465.1993154792
BOLIVIA,2021,96.6876806764757,83.8007499330228,
BOLIVIA,2021,98478.366945874,,98976.9581967276
CHUQUISACA,2017,Actividad extractiva,100,2125.77142571647
CHUQUISACA,2017,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",100,390.692513565416
CHUQUISACA,2017,Actividades de alojamiento y de servicio de comidas y bebidas,100,889.769987122002
CHUQUISACA,2017,Actividades de atencion de la salud humana y de asistencia social,100,814.493546938022
CHUQUISACA,2017,Actividades financieras y de seguros,100,443.834941576501
CHUQUISACA,2017,"Actividades inmobiliarias, empresariales y de alquiler",100,1644.79569038047
CHUQUISACA,2017,Administracion publica,100,867.3457515615
CHUQUISACA,2017,"Agricultura, ganaderia, silvicultura y pesca",100,1120.70733992623
CHUQUISACA,2017,Comercio; reparacion de vehículos automotores y motocicletas,100,690.151554446425
CHUQUISACA,2017,Comunicación e informaciones,100,344.046944789607
CHUQUISACA,2017,Construcción,100,1492.70232360661
CHUQUISACA,2017,Enseñanza,100,1090.62844892927
CHUQUISACA,2017,Impuestos netos de subvenciones a los productos,100,1015.51117370052
CHUQUISACA,2017,Industrias manufactureras,100,1240.11757134099
CHUQUISACA,2017,PRODUCTO  INTERNO  BRUTO(1),100,15203.6521813434
CHUQUISACA,2017,"Suministro de electricidad, agua y recolección de desechos sólidos",100,188.159879378332
CHUQUISACA,2017,Transporte y almacenamiento,100,844.923088365045
CHUQUISACA,2017,VALOR AGREGADO BRUTO,100,14188.1410076429
CHUQUISACA,2018,Actividad extractiva,104.255341186911,2216.23025273456
CHUQUISACA,2018,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",94.4223965714244,368.901234533603
CHUQUISACA,2018,Actividades de alojamiento y de servicio de comidas y bebidas,103.167423172674,917.9527678776
CHUQUISACA,2018,Actividades de atencion de la salud humana y de asistencia social,107.911757404363,878.934300445946
CHUQUISACA,2018,Actividades financieras y de seguros,104.358170515377,463.178025137231
