year,cpi_2015base,bob_per_usd,inv_agro_usd_mm,inv_agro_bob_mm_current,inv_agro_bob_mm_2015,inv_agro_pct_gdp,inv_agro_pct_total,inv_pub_total_usd_mm,emapa_bob_mm,emapa_bob_mm_2015,tfp_index,tfp_output,tfp_input,agr_value_added_pct_gdp,cereal_yield_kg_ha.x,undernourishment_pct,agr_employment_pct,gdp_current_usd,gdp_per_capita_usd,cpi_index,cpi_2010base,gdp_deflator,inflation_cpi,inv_productivos_usd_mm,inv_hidrocarb_usd_mm,inv_infraestr_usd_mm,inv_sociales_usd_mm,inv_multisec_usd_mm,agr_food_prod_index,rural_pop_pct,gdp_per_capita_const2015,agr_gdp_usd,aper_agro_spend_bob_current_aper,aper_agro_spend_bob_2015,aper_agro_spend_usd,aper_agro_spend_usd_2015,aper_spend_administracion_general,aper_spend_fomento_produccion,aper_spend_investigacion_extension,aper_spend_riego_agua,aper_spend_sanidad_inocuidad,aper_agro_spend_pct_gdp,tfp_per_mbob,PSE_BOB_mm,MPS_BOB_mm,GSSE_BOB_mm,CSE_BOB_mm,TSE_BOB_mm,GDP_BOB_mm,PSEP_pct,GSSEP_pct,TSEP_pct,CSEP_pct,NPC_producer,NAC_producer,bob_per_usd_idb,PSE_USD_mm,MPS_USD_mm,GSSE_USD_mm,CSE_USD_mm,TSE_USD_mm,GDP_USD_mm,BT_BOB_mm_agg,GHG_total_GgCO2e,GSSE_pct_total_support,PSE_BOB_2015,MPS_BOB_2015,BT_agg_BOB_2015,GSSE_BOB_2015,TSE_BOB_2015,CSE_BOB_2015,mun_p10_agropecuario_bob_mm,mun_p10_corriente_bob_mm,mun_p10_inversion_bob_mm,mun_p10_pct_presup_total,mun_agro_strict_bob_mm,mun_rural_infra_bob_mm,mun_rural_total_bob_mm,mun_p10_agropecuario_bob_mm_2015,mun_agro_strict_bob_mm_2015,mun_rural_infra_bob_mm_2015,mun_rural_total_bob_mm_2015,lc_antropico,lc_natural,lc_no_definido,lc_total_ha,lc_antropico_share,lc_natural_share,lc_antropico_delta_ha,lc_natural_delta_ha,precip_nacional_mm,gasto_usd_por_ha_antrop,lc_antrop_growth_pct,precip_interp_mm,precip_fuente,cereal_yield_kg_ha.y,cereal_prod_ton,defor_nacional_ha,all_meat_prod_ton,cereals_prod_ton,use_of_pesticides_per_area_of_cropland
2008,70.6307772076312,7.23832069891666,82,593.542297311166,840.34513108407,0.491775466557203,6.06957809030348,1351,237,335.547773038513,91.8818,73.7071,80.2194,10.4424041155226,2016.4,23,28.9645642457905,16674276285.8956,1692.67248455876,70.6307772076312,94.3988434471963,71.1098991727448,14.0068107702519,227,13,570,427,127,74.43,34.4551700039662,2383.2503257823,1741195313.11198,372193622.53,526956713.835773,51419885.6353111,72800962.5098045,107250846.56,238655251.79,21332564.62,3200380.49,1754579.07,0.43660643053747,0.109338171426625,-2857.43,-3025.38,201.9915304,3081.61,-2655.43,120693.76,-14.99668687,,-2.200142308,18.34055749,1.171459293,0.86959027,7.238472191,-394.755954654741,-417.958364717022,27.9052713155612,425.726578577112,-366.849513258011,16673.9274276781,-52.93723956,,-7.60671100883866,-4045.58765026767,-4283.37350884074,-74.9492525112416,285.982313073253,-3759.59334582134,4362.98469566756,,,,,,,,,,,,8307612.20453244,100079052.197806,831.735737902836,108387496.138077,7.6647330186032,92.3344996089899,371511.525699028,-371505.967917994,940.6,9.87046554186324,4.68128544147501,940.6,interpolado,2400.16730799024,2105893,369956.638498142,661963.2,2052972,2.01
2009,72.9944038189918,7.02,90,631.8,865.545804808146,0.519031375530445,6.25434329395413,1439,281,384.961017966269,99.2028,78.8051,79.4384,11.1524074497311,2346,21.4,27.9142437529609,17339992193.7322,1731.18172112209,72.9944038189918,97.5578575098271,69.3891147558216,3.34645420142013,267,31,612,475,85,79.67,34.0218103613051,2422.57579390007,1933826581.19658,,,,,,,,,,,0.114612998467469,-5779.11,-5949.13,257.8560291,5713.37,-5521.25,121726.75,-26.90620958,,-4.535776277,34.00310593,1.293126878,0.787983506,7.02,-823.235042735043,-847.454415954416,36.7316280769231,813.870370370371,-786.502849002849,17339.9928774929,95.179130351,,-4.67024394202913,-7917.19597344856,-8150.11793883869,130.392366224431,353.254517619487,-7563.936015823,7827.13427479695,,,,,,,,,,,,8491382.60671406,99895294.1158547,819.415508404547,108387496.138077,7.83428246732142,92.1649615271082,183770.402181616,-183758.081951663,919.6,10.5989806570296,2.21207246627804,919.6,interpolado,2551.40078623608,2235899,225350.482678168,636202.2,2378919,2.26
2010,74.8216552537953,7.01666666666666,84,589.4,787.739856864637,0.427486926472716,5.52268244575937,1521,392,523.912493876719,87.4813,77.3566,88.4264,10.3899057010594,2267.3,19.9,29.8040198576427,19649723722.1034,1929.78373077158,74.8216552537953,100,75.4797499348189,2.5032760584424,303,109,654,472,93,78.67,33.5924334340867,2481.40700850945,2041587765.24524,,,,,,,,,,,0.111053540375871,1563.342994,1156.718424,592.2175604,-871.7205109,2155.560554,137875.568,6.073142386,27.47394683,1.563410098,-3.902839985,0.969972719,1.064658209,,,,,,,,433.000916069,,27.4739468205218,2089.42583360009,1545.96743426272,578.710688236259,791.505558639669,2880.93139170516,-1165.0644561967,,,,,,,,,,,,8622708.69599014,99763934.9173865,852.524700042728,108387496.138077,7.95544597229695,92.0437674750744,131326.089276077,-131359.198468193,898.451847588979,9.74171840445717,1.5465807555561,898.5,CHIRPS_TIF,2320.26815720324,1920476,452016.000073671,702566.8,2133671,2.78
2011,82.2173749798859,6.93696249999999,135,936.489937499999,1139.04139815837,0.563364654499076,6.18698441796517,2182,747,908.567076220507,84.2662,79.1952,93.9821,9.7695858816954,2045.3,18.8,31.5087515949538,23963164696.592,2315.52121930607,82.2173749798859,109.884464198238,86.5015703998176,9.88446419823883,658,308,853,566,104,80.5,33.166284366824,2568.5205166368,2341101955.00566,,,,,,,,,,,0.0739799274514903,707.0263589,164.8249891,779.0788701,-741.8148377,1486.105229,166231.5629,2.425385624,52.42420623,0.893997026,-2.75416802,0.99294806,1.024856728,,,,,,,,-332.21290341,,52.4242062336489,859.947619433205,200.474643152161,-404.066541277041,947.58421840955,1807.53183784275,-902.260425951913,,,,,,,,,,,,8830794.69954519,99555921.691915,779.746616467287,108387496.138077,8.14742937533633,91.8518512182337,208086.003555052,-208013.225471512,924.4,15.287412355646,2.41323244112166,924.4,interpolado,2272.75449624706,2002931,330431.194087751,721009.75,1988006.8,2.88
2012,85.9299851602867,6.91,180,1243.8,1447.45748260042,0.664586818050517,6.2133241284087,2897,769,894.914619810036,95.0523,87.8731,92.4471,9.8121619148328,2113.2,18.1,29.2461174583291,27084497481.9103,2575.59857098084,85.9299851602867,114.8464102656,92.6434202110263,4.51560291399375,933,488,1035,743,187,89.26,32.7418555172301,2657.23884915854,2657574746.74385,,,,,,,,,,,0.0656684573761949,-94.81211354,-783.9613001,1065.625294,-575.3319195,978.7242472,187153.8776,-0.298654669,,0.522951627,-2.12680789,1.007492765,0.997022346,,,,,,,,-907.751761835,,109.766257344701,-110.336471446079,-912.325655168756,-1056.38533527238,1240.10878392714,1138.97872247315,-669.535690512251,313.520356,313.520356,0,2.7,1197.360273,2969.56812,4936.564343,364.85559192776,1393.41380167417,3455.7996425355,5744.8681432817,9106004.59373979,99280685.4005229,806.14381414185,108387496.138077,8.40134233024396,91.5979139088584,275209.894194601,-275236.291392148,950.4,19.7671764984334,3.11647936067153,950.4,interpolado,2235.59836386914,2257456,273611.116731472,765046.1,2125542.8,2.91
2013,90.8592730328446,6.91,223,1540.93,1695.95237620157,0.727347712328551,5.89791060565988,3781,1185,1304.21470527465,91.4108,91.6948,100.3107,9.9669794768463,1717.9,18,31.1048260743279,30659338885.6729,2870.02377000756,90.8592730328446,121.434460016488,98.1977530505842,5.73640023719606,1190,578,1329,1084,178,93.43,32.3302944480111,2793.51457098676,3055810014.47178,,,,,,,,,,,0.0538993908571496,559.7518304,-378.981339,1805.042976,-186.059945,2379.882846,211856.0317,1.578035927,75.84587532,1.12334911,-0.652603678,1.002866688,1.016033372,,,,,,,,-518.903243924,,76.3297928054854,616.064614778126,-417.108046707574,-571.106532776706,1986.63594341933,2619.30650175871,-204.77815724185,387.215078,387.215078,0,2.75,1216.152876,3592.90432,5580.228473,426.170125596345,1338.5016580095,3954.3617289357,6141.61690572057,9237457.6657158,99149190.7990693,847.673288476567,108387496.138074,8.52262299144572,91.4765949319138,131453.071976008,-131494.601453632,976.3,24.140841351582,1.44358670833946,976.3,interpolado,2049.56321582926,2300373,179911.239190429,795621.75,2503244.8,3.36
2014,96.0987645491769,6.91,275,1900.25,1977.3927468418,0.833429606642032,6.10161970268471,4507,1564,1627.49230683361,94.8488,94.2843,99.4048,9.74021753770169,1958.1,17.2,29.1229457953441,32996188017.3661,3041.43503162408,96.0987645491769,128.437100493446,100.210313765951,5.76660074579143,1363,646,1440,1448,257,96.04,31.962574587,2900.90241586338,3213900492.04052,,,,,,,,,,,0.0479665964950505,828.7443823,-145.1995428,1630.424045,-715.0606304,2474.367601,228003.6592,1.874478641,65.8925555,1.085231531,-1.875629737,0.982763647,1.019102866,,,,,,,,-600.639163988,,66.2998120380919,862.388175527381,-151.09407855675,-625.02277402394,1696.61290928008,2574.81728574542,-744.089306199228,449.048251,449.048251,0,2.73,1383.805554,4611.63015,6979.247198,467.277860549609,1439.98266834311,4798.84436770264,7262.5774438843,9425415.66768674,98961241.1732227,839.297167132573,108387496.138077,8.69603598525752,91.3031896660426,187958.001970947,-187949.62584655,1002.3,29.1764320742676,2.03473735710357,1002.3,interpolado,2153.42251790575,2483676,254542.671750948,805808.8,2449241,3.15
2015,100,6.91,320,2211.2,2211.2,0.969691144235853,6.54129190515127,4892,777,777,100,100,100,10.2394941144455,2280.2,16.1,27.9913929784824,33000198248.9146,2996.01289811344,100,133.651146397122,95.5799937448752,4.05961041135644,1709,678,1696,1341,146,101.79,31.6041948702335,2996.01289811344,3379053357.45297,,,,,,,,,,,0.0452243125904486,-1274.640956,-2295.313382,1796.131385,13.6437254,536.1502447,228031.3699,-2.955128997,,0.235121266,0.036500346,0.979963065,0.971296923,,,,,,,,-1981.481528871,,344.422694093203,-1274.640956,-2295.313382,-1981.481528871,1796.131385,536.1502447,13.6437254,547.570164,547.570164,0,2.88,1677.52672,4561.557077,7566.956846,547.570164,1677.52672,4561.557077,7566.956846,9648988.67098861,98737666.264984,841.202104132085,108387496.138077,8.90230793660608,91.0969159571694,223573.003301866,-223574.908238754,1028.23515926214,33.1640973900339,2.37202274344615,1028.2,CHIRPS_TIF,2464.6279937106,2973447,166186.94503928,837296.94,2934919,3.06
2016,103.623214317642,6.91,236,1630.76,1573.74002605357,0.695321653888617,4.65942744323791,5065,443,427.510382607944,99.488,100.2929,100.8091,11.1718754150532,2111.3,14.9,27.5245435383413,33941126193.9219,3035.87347732132,103.623214317642,138.493613869075,94.2850085286961,3.62321431764138,1866,530,1822,1192,185,102.17,31.2553672123053,3077.57057564766,3791860332.85094,,,,,,,,,,,0.0632175571269442,2915.426895,2198.708976,1291.319689,-2649.216937,4221.852237,234533.182,7.160864983,30.58656761,1.80010871,-7.422671027,0.947420997,1.077131966,,,,,,,,0.341325530000006,,30.6963983500081,2813.48818814208,2121.83050919476,0.329390988542126,1246.16833930826,4074.2340071198,-2556.58633487204,565.692815,565.692815,0,3.41,1409.984124,3815.122421,6327.036281,545.913209433893,1360.68363955387,3681.72561150757,6105.80970940102,9989297.28255256,98397355.9654997,842.89002450562,108387496.138077,9.2162819868327,90.782940349641,340308.611563949,-340310.299484298,1008.9,23.625285475506,3.52688373017938,1008.9,interpolado,2371.32863183246,2706131,470414.227162711,861097.94,2660808,3.22
2017,106.548246947132,6.91,227,1568.57,1472.16875447825,0.494257903342276,4.7569153394803,4772,759,712.353343904954,94.5064,99.8077,105.6094,7.67713722474752,1845.6,14.2,28.2661150516845,45927439594.7902,4048.40119739839,106.548246947132,142.402953510878,100,2.8227580554717,1720,341,1628,1194,230,101.63,30.9161983725264,3160.16421228968,3525912561.50507,,,,,,,,,,,0.0641953578436691,1131.792702,263.7260403,1532.105164,-1721.590444,2678.094593,259184.7174,2.394758718,57.20877701,1.033276429,-3.958656374,0.974248572,1.024535145,,,,,,,,-621.052646243,,57.5136600976578,1062.23493527921,247.517953468403,-582.883964811886,1437.94497600718,2513.50413520069,-1615.78486115707,601.188922,601.188922,0,3.78,1444.956231,3446.642359,5856.512245,564.241026225711,1356.15204604631,3234.81845807392,5496.58245236635,10289359.1888291,98097295.4180343,841.531213446049,108387496.138077,9.49312379697496,90.5060997931591,300061.906276532,-300060.547465384,989.6,22.0616265633382,3.00383398140151,989.6,interpolado,2092.70645420187,2326314.73215393,463127.229273871,919242.6,2278993.8,4.38
