destino,dept,year,deuda_mm_bob
CAMINOS,Potosí,2010,179.5
CAMINOS,Santa Cruz,2010,91.2
ELECTRIFICACIÓN,Beni,2010,14.8
ELECTRIFICACIÓN,Chuquisaca,2010,4.8
ELECTRIFICACIÓN,Cochabamba,2010,9.2
ELECTRIFICACIÓN,La Paz,2010,99.1
ELECTRIFICACIÓN,Pando,2010,6.2
ELECTRIFICACIÓN,Potosí,2010,17.6
ELECTRIFICACIÓN,Santa Cruz,2010,79
FORTALECIMIENTO,Cochabamba,2010,0
FORTALECIMIENTO,La Paz,2010,0
FORTALECIMIENTO,Oruro,2010,0
FORTALECIMIENTO,Pando,2010,4.4
FORTALECIMIENTO,Potosí,2010,0.1
FORTALECIMIENTO,Santa Cruz,2010,0
RIEGO,Chuquisaca,2010,128.2
RIEGO,Cochabamba,2010,81.2
RIEGO,La Paz,2010,0
RIEGO,Oruro,2010,0.6
RIEGO,Potosí,2010,0.9
RIEGO,Santa Cruz,2010,150.5
RIEGO,Tarija,2010,0.9
SEGURIDAD SOCIAL,Beni,2010,0
SEGURIDAD SOCIAL,Chuquisaca,2010,0
SEGURIDAD SOCIAL,Cochabamba,2010,8.7
SEGURIDAD SOCIAL,La Paz,2010,25.6
SEGURIDAD SOCIAL,Oruro,2010,0
TRANSPORTE,Beni,2010,6.5
TRANSPORTE,Pando,2010,0
TRANSPORTE,Oruro,2010,3.3
OTROS,Beni,2010,77.9
OTROS,Chuquisaca,2010,57.3
OTROS,Cochabamba,2010,120.8
OTROS,La Paz,2010,49.2
OTROS,Oruro,2010,38
OTROS,Pando,2010,15.7
OTROS,Potosí,2010,17.6
OTROS,Santa Cruz,2010,36.2
OTROS,Tarija,2010,202.7
AGROPECUARIO,Beni,2011,2
AGROPECUARIO,Potosí,2011,67
AGROPECUARIO,Santa Cruz,2011,0
CAMINOS,Beni,2011,2.9
CAMINOS,Chuquisaca,2011,103.8
CAMINOS,Cochabamba,2011,15.3
CAMINOS,La Paz,2011,107.7
CAMINOS,Pando,2011,4
CAMINOS,Potosí,2011,192.6
CAMINOS,Santa Cruz,2011,73.4
ELECTRIFICACIÓN,Beni,2011,13.8
ELECTRIFICACIÓN,Chuquisaca,2011,3.8
ELECTRIFICACIÓN,Cochabamba,2011,7.6
ELECTRIFICACIÓN,La Paz,2011,0
ELECTRIFICACIÓN,Pando,2011,5.8
ELECTRIFICACIÓN,Potosí,2011,15
ELECTRIFICACIÓN,Santa Cruz,2011,73.4
FORTALECIMIENTO,Cochabamba,2011,0
FORTALECIMIENTO,La Paz,2011,0
FORTALECIMIENTO,Oruro,2011,0
FORTALECIMIENTO,Pando,2011,3
FORTALECIMIENTO,Potosí,2011,0
FORTALECIMIENTO,Santa Cruz,2011,0
RIEGO,Chuquisaca,2011,140.2
RIEGO,Cochabamba,2011,89.2
RIEGO,La Paz,2011,0
RIEGO,Oruro,2011,0
RIEGO,Potosí,2011,0.7
RIEGO,Santa Cruz,2011,152.5
RIEGO,Tarija,2011,156.2
SEGURIDAD SOCIAL,Beni,2011,0
SEGURIDAD SOCIAL,Chuquisaca,2011,0
SEGURIDAD SOCIAL,Cochabamba,2011,7.3
SEGURIDAD SOCIAL,La Paz,2011,25.3
SEGURIDAD SOCIAL,Oruro,2011,0
TRANSPORTE,Beni,2011,5.2
TRANSPORTE,Pando,2011,0
TRANSPORTE,Oruro,2011,2.1
OTROS,Beni,2011,70.8
OTROS,Chuquisaca,2011,51.5
OTROS,Cochabamba,2011,97.6
OTROS,La Paz,2011,150.9
OTROS,Oruro,2011,34
OTROS,Pando,2011,14.4
OTROS,Potosí,2011,14.6
OTROS,Santa Cruz,2011,26.7
OTROS,Tarija,2011,187.2
AGROPECUARIO,Beni,2012,1.2
AGROPECUARIO,Potosí,2012,64.3
AGROPECUARIO,Santa Cruz,2012,0
CAMINOS,Beni,2012,2.4
CAMINOS,Chuquisaca,2012,86.5
CAMINOS,Cochabamba,2012,11.8
CAMINOS,La Paz,2012,102.8
CAMINOS,Pando,2012,11.3
CAMINOS,Potosí,2012,161.8
CAMINOS,Santa Cruz,2012,56.6
ELECTRIFICACIÓN,Beni,2012,12.5
ELECTRIFICACIÓN,Chuquisaca,2012,3
ELECTRIFICACIÓN,Cochabamba,2012,6.8
ELECTRIFICACIÓN,La Paz,2012,0
ELECTRIFICACIÓN,Pando,2012,5.5
ELECTRIFICACIÓN,Potosí,2012,12.7
ELECTRIFICACIÓN,Santa Cruz,2012,67.7
FORTALECIMIENTO,Cochabamba,2012,0
FORTALECIMIENTO,La Paz,2012,0
FORTALECIMIENTO,Oruro,2012,0
FORTALECIMIENTO,Pando,2012,2.6
FORTALECIMIENTO,Potosí,2012,0
FORTALECIMIENTO,Santa Cruz,2012,0
RIEGO,Chuquisaca,2012,143
RIEGO,Cochabamba,2012,95.3
RIEGO,La Paz,2012,0
RIEGO,Oruro,2012,0
RIEGO,Potosí,2012,0.6
RIEGO,Santa Cruz,2012,152.8
RIEGO,Tarija,2012,156.2
SEGURIDAD SOCIAL,Beni,2012,0
SEGURIDAD SOCIAL,Chuquisaca,2012,0
SEGURIDAD SOCIAL,Cochabamba,2012,6
SEGURIDAD SOCIAL,La Paz,2012,24
SEGURIDAD SOCIAL,Oruro,2012,0
TRANSPORTE,Beni,2012,4
TRANSPORTE,Pando,2012,0
TRANSPORTE,Oruro,2012,0.9
OTROS,Beni,2012,64.3
OTROS,Chuquisaca,2012,46.7
OTROS,Cochabamba,2012,82.8
OTROS,La Paz,2012,145.6
OTROS,Oruro,2012,29.2
OTROS,Pando,2012,13.1
OTROS,Potosí,2012,12.4
OTROS,Santa Cruz,2012,22
OTROS,Tarija,2012,158.8
AGROPECUARIO,Beni,2013,1.1
AGROPECUARIO,Potosí,2013,61.5
AGROPECUARIO,Santa Cruz,2013,0
CAMINOS,Beni,2013,2
CAMINOS,Chuquisaca,2013,70.5
CAMINOS,Cochabamba,2013,85.3
CAMINOS,La Paz,2013,98.2
CAMINOS,Pando,2013,9.8
CAMINOS,Potosí,2013,132.3
CAMINOS,Santa Cruz,2013,41
ELECTRIFICACIÓN,Beni,2013,11.1
ELECTRIFICACIÓN,Chuquisaca,2013,9
ELECTRIFICACIÓN,Cochabamba,2013,24.9
ELECTRIFICACIÓN,La Paz,2013,12.4
ELECTRIFICACIÓN,Pando,2013,5.2
ELECTRIFICACIÓN,Potosí,2013,10.8
ELECTRIFICACIÓN,Santa Cruz,2013,60.9
FORTALECIMIENTO,Cochabamba,2013,36.1
FORTALECIMIENTO,La Paz,2013,0
FORTALECIMIENTO,Oruro,2013,0
FORTALECIMIENTO,Pando,2013,2.1
FORTALECIMIENTO,Potosí,2013,0
FORTALECIMIENTO,Santa Cruz,2013,0
RIEGO,Chuquisaca,2013,147.4
RIEGO,Cochabamba,2013,102.3
RIEGO,La Paz,2013,0
RIEGO,Oruro,2013,0
RIEGO,Potosí,2013,0.5
RIEGO,Santa Cruz,2013,153.2
RIEGO,Tarija,2013,156.2
SEGURIDAD SOCIAL,Beni,2013,0
SEGURIDAD SOCIAL,Chuquisaca,2013,0
SEGURIDAD SOCIAL,Cochabamba,2013,4.6
SEGURIDAD SOCIAL,La Paz,2013,22.7
SEGURIDAD SOCIAL,Oruro,2013,0
TRANSPORTE,Beni,2013,3.3
TRANSPORTE,Pando,2013,2
TRANSPORTE,Oruro,2013,0.1
OTROS,Beni,2013,57.5
OTROS,Chuquisaca,2013,42
OTROS,Cochabamba,2013,67.6
OTROS,La Paz,2013,133.5
OTROS,Oruro,2013,26.2
OTROS,Pando,2013,11.8
OTROS,Potosí,2013,10.2
OTROS,Santa Cruz,2013,19.3
OTROS,Tarija,2013,134.7
AGROPECUARIO,Beni,2014,1.1
AGROPECUARIO,Potosí,2014,55
AGROPECUARIO,Santa Cruz,2014,0
