dept,year,area_ha_antropico,area_ha_natural,area_ha_no_definido
La Paz,1995,950981.047733185,12180683.950239,6.17715879516602
La Paz,1996,947904.359080687,12183761.3354339,5.48061640014648
La Paz,1997,938312.491957007,12193352.6834364,5.99973757324219
La Paz,1998,941062.059796374,12190604.503325,4.61200962524414
La Paz,1999,923740.768382015,12207925.5404316,4.86631738891602
La Paz,2000,956597.286373814,12175068.7610177,5.12773810424805
La Paz,2001,942423.085531441,12189241.312119,6.77748063354492
La Paz,2002,874928.335725521,12256736.7515506,6.0878549987793
La Paz,2003,922050.530211654,12209616.9114207,3.73349877319336
La Paz,2004,877873.974165718,12253792.1564099,5.04455396118164
La Paz,2005,920222.617476922,12211444.3849382,4.17271597900391
La Paz,2006,951965.663991877,12179699.5982285,5.91291135253906
La Paz,2007,936689.081633998,12194976.1790965,5.91440057983398
La Paz,2008,994417.023382714,12137248.8456255,5.30612284545898
La Paz,2009,998745.737547201,12132920.1345253,5.30305860595703
La Paz,2010,1016182.41088052,12115482.8551257,5.90912476196289
La Paz,2011,1024406.65241525,12107259.9984802,4.52423555297852
La Paz,2012,1013659.32373087,12118006.6362173,5.21518287353516
La Paz,2013,1045897.02460828,12085769.3702146,4.78030665283203
La Paz,2014,1077350.24310341,12054316.2410668,4.69096078491211
La Paz,2015,1083471.95033524,12048193.1404421,6.08435380859375
La Paz,2016,1114391.23252171,12017274.2909659,5.65164349365234
La Paz,2017,1131511.066144,12000154.8936221,5.21536494750977
La Paz,2018,1166429.04422096,11965237.6977936,4.43311664428711
La Paz,2019,1197363.32858234,11934303.5867927,4.25975606079101
La Paz,2020,1240894.24955255,11890773.0131227,3.91245585327149
La Paz,2021,1251298.04731564,11880368.9568285,4.1709869140625
La Paz,2022,1300451.6922679,11831219.4828631,0
La Paz,2023,1363710.74508273,11767960.4300489,0
La Paz,2024,1533297.73623407,11598373.6114654,0
Oruro,1985,286817.894204383,4871340.41768265,0.0844979431152344
Oruro,1986,318721.174993592,4839437.13689346,0.0844979431152344
Oruro,1987,311783.907194948,4846374.40469211,0.0844979431152344
Oruro,1988,319517.605528695,4838640.70635833,0.0844979431152344
Oruro,1989,286193.148104957,4871965.1637821,0.0844979431152344
Oruro,1990,286351.501665238,4871806.81022174,0.0844979431152344
Oruro,1991,275936.693954516,4882221.61793247,0.0844979431152344
Oruro,1992,266691.898918933,4891466.41296798,0.0844979431152344
Oruro,1993,266084.802191405,4892073.50969558,0.0844979431152344
Oruro,1994,244136.974493979,4914021.33739296,0.0844979431152344
Oruro,1995,257136.851917463,4901021.45996948,0.0844979431152344
Oruro,1996,262810.121213164,4895348.19067378,0.0844979431152344
Oruro,1997,262533.787433265,4895624.52445371,0.0844979431152344
Oruro,1998,252641.015755004,4905517.29613192,0.0844979431152344
Oruro,1999,276763.485445136,4881394.82644182,0.0844979431152344
Oruro,2000,279900.958524965,4878257.35336196,0.0844979431152344
Oruro,2001,276058.026922859,4882100.28496415,0.0844979431152344
Oruro,2002,287431.431881825,4870726.88000514,0.0844979431152344
Oruro,2003,305551.701791891,4852606.61009507,0.0844979431152344
Oruro,2004,304927.504419331,4853230.80746761,0.0844979431152344
Oruro,2005,324371.838128878,4833786.47375806,0.0844979431152344
Oruro,2006,333260.742432817,4824897.56945409,0.0844979431152344
Oruro,2007,319011.336529016,4839146.9753579,0.0844979431152344
Oruro,2008,303473.790835516,4854684.52105139,0.0844979431152344
Oruro,2009,320842.685811701,4837315.62607517,0.0844979431152344
Oruro,2010,321403.794584536,4836754.51730234,0.0844979431152344
Oruro,2011,333794.23742277,4824364.07446415,0.0844979431152344
Oruro,2012,396174.607293852,4761983.70459304,0.0844979431152344
Oruro,2013,417775.866715046,4740382.44517191,0.0844979431152344
Oruro,2014,442171.895909133,4715986.41597777,0.0844979431152344
Oruro,2015,459793.529027781,4698364.78285911,0.0844979431152344
Oruro,2016,471304.386218564,4686853.92566835,0.0844979431152344
Oruro,2017,469342.506977844,4688815.80490907,0.0844979431152344
Oruro,2018,485592.577274651,4672565.73461225,0.0844979431152344
Oruro,2019,525981.888503871,4632176.42338304,0.0844979431152344
Oruro,2020,510814.700253126,4647343.61163378,0.0844979431152344
Oruro,2021,531127.942893137,4627030.36899374,0.0844979431152344
Oruro,2022,592807.263883358,4565351.04800356,0.0844979431152344
Oruro,2023,548263.939116729,4609894.37277021,0.0844979431152344
Oruro,2024,626070.698840252,4532087.44405068,0
Pando,1985,34767.028627124,6347302.84757403,9.32596265869141
Pando,1986,35477.737631958,6346593.10946147,8.35507038574219
Pando,1987,40983.3375309021,6341086.54132465,9.32330824584961
Pando,1988,41565.9679275879,6340504.351636,8.88260023803711
Pando,1989,42817.2011569642,6339253.46852032,8.53248654785156
Pando,1990,45748.7600745605,6336321.55968706,8.88240220336914
Pando,1991,49469.7153593566,6332601.39284187,8.0939625793457
Pando,1992,51522.3964832763,6330547.13266417,9.67301635742188
Pando,1993,52270.0148881956,6329797.23037383,11.9569017944336
Pando,1994,53025.4602354549,6329043.71647278,10.0254555786133
Pando,1995,59252.0784579529,6322817.715391,9.40831484375
Pando,1996,66170.137922601,6315901.50217416,7.56206703491211
Pando,1997,68377.6212099974,6313692.43581983,9.14513397827148
Pando,1998,69749.9229359433,6312321.09934824,8.17987961425781
Pando,1999,71450.3464035944,6310621.29081186,7.5649483581543
Pando,2000,75480.0379691462,6306587.46758622,11.6966084411621
Pando,2001,83191.6860427609,6298875.11426092,12.4018601257324
Pando,2002,88890.6048740536,6293177.60565016,10.9916395874023
Pando,2003,95279.1740517948,6286785.42920135,14.5989106689453
Pando,2004,100866.404235108,6281197.4927925,15.3051361938477
