dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,superficie_total_ha,produccion_total_ton,rend_cereales_kg_ha,prod_arroz_ton,prod_maiz_ton,prod_papa_ton,prod_trigo_ton
COCHABAMBA,2019,85996115,35248089,550599885,741883418,29708586,5539503,5110.95099978317,57332.6366703464,8.91455773989662,136,35.248089,85.996115,550.599885,741.883418,29.708586,5.539503,110.973622354616,6.91,31.7625830824598,77.4923924941367,496.153836666302,668.522304903515,6896.58128232797,261272.792479479,1924197.391657,1805.98530020508,11509,102354,0,0
COCHABAMBA,2020,33253702,31973564,593257148,727304083,29535282,2438282,5476.90545674703,50711.1166032421,10.8002067862116,122.4,31.973564,33.253702,593.257148,727.304083,29.535282,2.438282,112.017597999241,6.91,28.5433401278759,29.6861409224516,529.610667070384,649.276627949949,5837.88861292312,257587.455635581,1972434.04634139,1893.00363417091,11905.5665041495,93025.7327092905,0,0
LA PAZ,2012,124674061,25858254,624345703,805632795,19321470,6536784,,,,102.8,25.858254,124.674061,624.345703,805.632795,19.32147,6.536784,85.9299851602867,6.91,30.0922360823945,145.087958257462,726.574899129096,937.545600057115,,321415,1399975,1246.6,9873,16347,0,0
LA PAZ,2013,75589353,41057121,466313440,627304469,23965233,17091888,,,,98.2,41.057121,75.589353,466.31344,627.304469,23.965233,17.091888,90.8592730328446,6.91,45.1875957505827,83.1938782656508,513.226030139414,690.413260045825,,327158,1388337,1256.6,10203,16501,0,0
LA PAZ,2014,66183694,30117315,795193233,884315645,19322642,10794673,,,,92.7,30.117315,66.183694,795.193233,884.315645,19.322642,10.794673,96.0987645491769,6.91,31.339960655361,68.8704941322442,827.474980277268,920.215414993672,,337084,1485192,1430.8,12354,18686,0,0
LA PAZ,2015,77834547,33946979,630621829,775551082,19489508,14457471,,,,85.2,33.946979,77.834547,630.621829,775.551082,19.489508,14.457471,100,6.91,33.946979,77.834547,630.621829,775.551082,,349776,1573383,1342,14723,20524,0,0
LA PAZ,2016,62826165,36206934,574477425,658526320,28193035,8013899,,,,77.4,36.206934,62.826165,574.477425,658.52632,28.193035,8.013899,103.623214317642,6.91,34.9409485494369,60.6294307831598,554.390663118231,635.500765283524,,352189,1616191,1299.4,15061,20932,0,0
LA PAZ,2017,47729012,34172123,676514824,745757676,21404090,12768033,3588.71444557824,81763.0150478221,4.38916598596474,71.7,34.172123,47.729012,676.514824,745.757676,21.40409,12.768033,106.548246947132,6.91,32.0719711296197,44.7956802364686,634.937545556879,699.924867248204,9522.10701581579,350932,1757706,1311.4,12550,21256,0,0
LA PAZ,2018,36703662,26323269,792604695,852724060,22949482,3373787,3647.11326047159,82493.5031246108,4.4210915070032,64.4,26.323269,36.703662,792.604695,852.72406,22.949482,3.373787,108.969086910658,6.91,24.1566390490011,33.6826370125434,727.366556397634,782.537583983917,7217.56280105112,353820,1872727,1336,13315,21142,0,0
LA PAZ,2019,141167997,24212946,816384182,995680954,18363949,5848997,3799.36740886138,85781.9338104106,4.42909974174572,57.6,24.212946,141.167997,816.384182,995.680954,18.363949,5.848997,110.973622354616,6.91,21.8186497712291,127.208605076347,735.656063736702,897.22308137181,6372.88879815293,354802.678236313,2043544.83509252,1334.24050974756,13961,19989,0,0
