year,dept_upper,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy
2014,SANTA CRUZ,36543587,29267921,1170937946,1309287743,27516345,1751576,,,,182.2,29.267921,36.543587,1170.937946,1309.287743,27.516345,1.751576,96.0987645491769,6.91,30.4560845681035,38.027114262535,1218.47346476634,1362.43972452944,
2014,TARIJA,163339152,99982923,464208340,668149282,47168616,52814307,,,,155.5,99.982923,163.339152,464.20834,668.149282,47.168616,52.814307,96.0987645491769,6.91,104.041840151686,169.970085220413,483.053390101024,695.273539815474,
2015,BENI,28153133,28103133,253350087,294498449,17725546,10377587,,,,2.1,28.103133,28.153133,253.350087,294.498449,17.725546,10.377587,100,6.91,28.103133,28.153133,253.350087,294.498449,
2015,CHUQUISACA,88581309,38604142,333779206,450923832,33243231,5360911,,,,187.7,38.604142,88.581309,333.779206,450.923832,33.243231,5.360911,100,6.91,38.604142,88.581309,333.779206,450.923832,
2015,COCHABAMBA,107776362,40630499,529743631,713393188,31536202,9094297,,,,188.4,40.630499,107.776362,529.743631,713.393188,31.536202,9.094297,100,6.91,40.630499,107.776362,529.743631,713.393188,
2015,LA PAZ,77834547,33946979,630621829,775551082,19489508,14457471,,,,85.2,33.946979,77.834547,630.621829,775.551082,19.489508,14.457471,100,6.91,33.946979,77.834547,630.621829,775.551082,
2015,ORURO,52316353,29592265,313154427,408261159,12245092,17347173,,,,0,29.592265,52.316353,313.154427,408.261159,12.245092,17.347173,100,6.91,29.592265,52.316353,313.154427,408.261159,
2015,PANDO,49853290,49853290,99826892,160290003,26499123,23354167,,,,4.7,49.85329,49.85329,99.826892,160.290003,26.499123,23.354167,100,6.91,49.85329,49.85329,99.826892,160.290003,
2015,POTOSÍ,100032957,21482250,209024594,327363234,13020082,8462168,,,,124.4,21.48225,100.032957,209.024594,327.363234,13.020082,8.462168,100,6.91,21.48225,100.032957,209.024594,327.363234,
2015,SANTA CRUZ,42900571,32126541,1135685206,1291703898,30684541,1442000,,,,170.8,32.126541,42.900571,1135.685206,1291.703898,30.684541,1.442,100,6.91,32.126541,42.900571,1135.685206,1291.703898,
2015,TARIJA,188692276,149778892,411523051,633764459,64091190,85687702,,,,155.5,149.778892,188.692276,411.523051,633.764459,64.09119,85.687702,100,6.91,149.778892,188.692276,411.523051,633.764459,
2016,BENI,17374940,16314940,175899694,201768243,11343098,4971842,,,,13.8,16.31494,17.37494,175.899694,201.768243,11.343098,4.971842,103.623214317642,6.91,15.7444836154078,16.7674204225509,169.749312601716,194.713360638967,
2016,CHUQUISACA,57684811,29304466,192170640,280097496,25403054,3901412,,,,169.9,29.304466,57.684811,192.17064,280.097496,25.403054,3.901412,103.623214317642,6.91,28.2798272500711,55.6678456462233,185.451340479488,270.303809667013,
2016,COCHABAMBA,80048784,39430331,702961921,856212608,28944197,10486134,,,,174.2,39.430331,80.048784,702.961921,856.212608,28.944197,10.486134,103.623214317642,6.91,38.0516385827717,77.249856151559,678.382663217889,826.274897606829,
2016,LA PAZ,62826165,36206934,574477425,658526320,28193035,8013899,,,,77.4,36.206934,62.826165,574.477425,658.52632,28.193035,8.013899,103.623214317642,6.91,34.9409485494369,60.6294307831598,554.390663118231,635.500765283524,
2016,ORURO,27476468,21380961,231249490,297098551,11940651,9440310,,,,0,21.380961,27.476468,231.24949,297.098551,11.940651,9.44031,103.623214317642,6.91,20.6333697915023,26.5157457051804,223.163787692532,286.710418081886,
2016,PANDO,15618000,15518000,48852183,74693489,9229395,6288605,,,,2,15.518,15.618,48.852183,74.693489,9.229395,6.288605,103.623214317642,6.91,14.9754088426864,15.0719123150584,47.1440529245221,72.0818105207951,
2016,POTOSÍ,51506389,21882789,100321368,173398418,16736447,5146342,,,,90.8,21.882789,51.506389,100.321368,173.398418,16.736447,5.146342,103.623214317642,6.91,21.1176512368372,49.7054538784279,96.8136036510887,167.335494408109,
2016,SANTA CRUZ,31273329,26999476,1003551854,1122902545,26934476,65000,,,,166.7,26.999476,31.273329,1003.551854,1122.902545,26.934476,0.065,103.623214317642,6.91,26.0554318622438,30.1798484113185,968.462386163547,1083.63994727852,
2016,TARIJA,115340311,84185152,209413662,347231103,42492549,41692603,,,,155.3,84.185152,115.340311,209.413662,347.231103,42.492549,41.692603,103.623214317642,6.91,81.2415949016431,111.30740515966,202.091455451356,335.090071550583,
2017,BENI,11481672,11481672,105901959,123187966,7671910,3809762,1316.33452352265,10381.2566473099,12.6799150453885,12.4,11.481672,11.481672,105.901959,123.187966,7.67191,3.809762,106.548246947132,6.91,10.7760308864557,10.7760308864557,99.3934316465551,115.617074451844,8722.45754770137
2017,CHUQUISACA,42752265,23855701,132438667,209283485,18404593,5451108,1120.70733992623,15203.6521813434,7.37130346418647,154,23.855701,42.752265,132.438667,209.283485,18.404593,5.451108,106.548246947132,6.91,22.3895762563198,40.1247943771551,124.299245454235,196.421331177645,21286.2896048939
2017,COCHABAMBA,77024352,37615261,523904546,682019412,27004009,10611252,4952.51052761756,55345.8566578135,8.94829500650323,163.1,37.615261,77.024352,523.904546,682.019412,27.004009,10.611252,106.548246947132,6.91,35.3035005997465,72.2905859147723,491.706396877611,640.103832340303,7595.19051806944
2017,LA PAZ,47729012,34172123,676514824,745757676,21404090,12768033,3588.71444557824,81763.0150478221,4.38916598596474,71.7,34.172123,47.729012,676.514824,745.757676,21.40409,12.768033,106.548246947132,6.91,32.0719711296197,44.7956802364686,634.937545556879,699.924867248204,9522.10701581579
2017,ORURO,13382287,9506000,129285550,160365245,8061725,1444275,462.595521223165,11883.2449709368,3.89283838172611,0,9.506,13.382287,129.28555,160.365245,8.061725,1.444275,106.548246947132,6.91,8.92177982498088,12.5598378044082,121.339912860463,150.509510569021,20549.269424107
2017,PANDO,8438169,8438169,33809256,48330716,6928920,1509249,724.915351822938,3285.57839031217,22.0635536793284,38.2,8.438169,8.438169,33.809256,48.330716,6.92892,1.509249,106.548246947132,6.91,7.91957563054693,7.91957563054693,31.7314052260061,45.3604046850074,11640.2128590333
2017,POTOSÍ,49065535,16962660,167271727,236296220,15392855,1569805,877.396872095276,19709.7627619387,4.45158514941443,63.1,16.96266,49.065535,167.271727,236.29622,15.392855,1.569805,106.548246947132,6.91,15.9201680797402,46.0500631458966,156.991533688019,221.773916296575,19332.9387640648
2017,SANTA CRUZ,21028456,19343812,964743036,1062919981,17085980,2257832,10285.968575922,95419.7196074641,10.7797094963559,164.4,19.343812,21.028456,964.743036,1062.919981,17.08598,2.257832,106.548246947132,6.91,18.1549791331604,19.7360882065325,905.451815156281,997.594997060263,1880.60189540937
2017,TARIJA,75859274,62941515,162568405,258750839,31466687,31474828,1034.91260334321,24366.5213415173,4.24727267728552,155.2,62.941515,75.859274,162.568405,258.750839,31.466687,31.474828,106.548246947132,6.91,59.0732525437336,71.1971113308328,152.577268662773,242.848518313389,60818.1935331275
2018,BENI,9003970,9003970,154556982,169507943,7348970,1655000,1357.83641812941,11229.7505175603,12.091421051662,24.2,9.00397,9.00397,154.556982,169.507943,7.34897,1.655,108.969086910658,6.91,8.26286633692929,8.26286633692929,141.835621809622,155.55599097474,6631.115412565
2018,CHUQUISACA,83824748,24679641,174456928,292539362,19048983,5630658,1213.42536451351,15717.1130668193,7.72040869945253,147,24.679641,83.824748,174.456928,292.539362,19.048983,5.630658,108.969086910658,6.91,22.6482956769514,76.9252550209275,160.09763222393,268.460872981204,20338.8207645508
2018,COCHABAMBA,160536065,39978743,567510146,812533699,26704581,13274162,5000.51096092093,57587.0799404421,8.68339038217005,146.9,39.978743,160.536065,567.510146,812.533699,26.704581,13.274162,108.969086910658,6.91,36.688150863169,147.322575192009,520.799212041935,745.655233090263,7994.93158047938
2018,LA PAZ,36703662,26323269,792604695,852724060,22949482,3373787,3647.11326047159,82493.5031246108,4.4210915070032,64.4,26.323269,36.703662,792.604695,852.72406,22.949482,3.373787,108.969086910658,6.91,24.1566390490011,33.6826370125434,727.366556397634,782.537583983917,7217.56280105112
2018,ORURO,26969686,11638983,133397010,181688222,6835100,4803883,477.681884402816,12202.0653324169,3.91476255362911,0,11.638983,26.969686,133.39701,181.688222,6.8351,4.803883,108.969086910658,6.91,10.6809952528487,24.7498504067598,122.417296301078,166.733728941826,24365.5524315114
2018,PANDO,9997413,9997413,48324652,63872492,8244372,1753041,848.717064469429,3579.32528637268,23.7116494469137,84.2,9.997413,9.997413,48.324652,63.872492,8.244372,1.753041,108.969086910658,6.91,9.17454048981496,9.17454048981496,44.3471202430286,58.6152401665693,11779.4414870754
2018,POTOSÍ,33735348,15813549,85851067,137627518,15646324,167225,918.543136159603,21614.0929775225,4.24974176392616,44.7,15.813549,33.735348,85.851067,137.627518,15.646324,0.167225,108.969086910658,6.91,14.5119588025595,30.9586406167274,78.7847906538739,126.299597346207,17215.9024192548
2018,SANTA CRUZ,19630279,17490039,914914849,1052653498,17490039,,10492.6529537034,98478.366945874,10.6547796019712,153.3,17.490039,19.630279,914.914849,1052.653498,17.490039,,108.969086910658,6.91,16.0504593512284,18.0145393125066,839.609539676258,966.011120991636,1666.88435014206
2018,TARIJA,63705432,47283822,167924847,251383492,22700278,24583544,1123.54694027944,23559.4243466515,4.76899148191252,155.2,47.283822,63.705432,167.924847,251.383492,22.700278,24.583544,108.969086910658,6.91,43.3919594451288,58.4619306319699,154.10319730189,230.692482727789,42084.4206012791
2019,BENI,8322070,8322070,153290240,167951579,8172070,150000,1438.82387160958,12008.3558934153,11.9818556710045,22.2,8.32207,8.32207,153.29024,167.951579,8.17207,0.15,110.973622354616,6.91,7.49914242990722,7.49914242990722,138.132140546121,151.343693606136,5783.9393439381
2019,CHUQUISACA,98695344,23492150,246596102,399018789,20889680,2602470,1238.03288880189,15882.0453061463,7.79517288193845,157.5,23.49215,98.695344,246.596102,399.018789,20.88968,2.60247,110.973622354616,6.91,21.1691296558122,88.9358587256162,222.211455990869,359.561831481842,18975.3844283851
2019,COCHABAMBA,85996115,35248089,550599885,741883418,29708586,5539503,5110.95099978317,57332.6366703464,8.91455773989662,136,35.248089,85.996115,550.599885,741.883418,29.708586,5.539503,110.973622354616,6.91,31.7625830824598,77.4923924941367,496.153836666302,668.522304903515,6896.58128232797
2019,LA PAZ,141167997,24212946,816384182,995680954,18363949,5848997,3799.36740886138,85781.9338104106,4.42909974174572,57.6,24.212946,141.167997,816.384182,995.680954,18.363949,5.848997,110.973622354616,6.91,21.8186497712291,127.208605076347,735.656063736702,897.22308137181,6372.88879815293
2019,ORURO,24420187,10879464,147431610,201414623,9014458,1865006,484.784382753908,12330.7615002749,3.93150400924631,0,10.879464,24.420187,147.43161,201.414623,9.014458,1.865006,110.973622354616,6.91,9.80364862312479,22.0053977529591,132.852840947088,181.497745794384,22441.861551309
2019,PANDO,11878507,11878507,43353539,61350304,11082295,796212,857.444410184262,3753.81576457158,22.8419417456979,97.6,11.878507,11.878507,43.353539,61.350304,11.082295,0.796212,110.973622354616,6.91,10.7039012947079,10.7039012947079,39.0665259726892,55.2836815616916,13853.3843814404
2019,POTOSÍ,59773941,24050036,115394207,197500167,19677141,4372895,972.724838539326,21213.0379502445,4.5855046355023,39.9,24.050036,59.773941,115.394207,197.500167,19.677141,4.372895,110.973622354616,6.91,21.6718491202785,53.8631971559805,103.983455303692,177.970370624552,24724.397945995
2019,SANTA CRUZ,36263631,33615369,1069427081,1232482127,23710578,9904791,10857.3840675172,101417.908860085,10.7055885785379,141,33.615369,36.263631,1069.427081,1232.482127,23.710578,9.904791,110.973622354616,6.91,30.2913145365141,32.677703251066,963.676825455556,1110.60817953802,3096.08362299437
2019,TARIJA,115679429,60153549,237258355,374480305,37110912,23042637,1117.41407760379,21796.4345664674,5.12659111377266,155.1,60.153549,115.679429,237.258355,374.480305,37.110912,23.042637,110.973622354616,6.91,54.2052676335819,104.240473137253,213.797071741825,337.449834523153,53832.8182950718
2020,BENI,8791487,8791487,164792121,179176376,7662919,1128568,1498.82395766738,10681.9958873125,14.0313100049739,19.6,8.791487,8.791487,164.792121,179.176376,7.662919,1.128568,112.017597999241,6.91,7.8483087988189,7.8483087988189,147.112707238301,159.953774407138,5865.59012152581
2020,CHUQUISACA,31326026,30795281,149755272,208749952,21228585,9566696,1247.79680925016,13961.5868919999,8.93735661212805,158.9,30.795281,31.326026,149.755272,208.749952,21.228585,9.566696,112.017597999241,6.91,27.4914670105752,27.9652720282507,133.68905839332,186.354604748278,24679.7241118976
2020,COCHABAMBA,33253702,31973564,593257148,727304083,29535282,2438282,5476.90545674703,50711.1166032421,10.8002067862116,122.4,31.973564,33.253702,593.257148,727.304083,29.535282,2.438282,112.017597999241,6.91,28.5433401278759,29.6861409224516,529.610667070384,649.276627949949,5837.88861292312
2020,LA PAZ,112100110,30314096,809521424,943597412,19512167,10801929,3940.77200145833,72412.7858831526,5.44209417355835,51.7,30.314096,112.10011,809.521424,943.597412,19.512167,10.801929,112.017597999241,6.91,27.061905041211,100.073659855445,722.673435655607,842.365332638533,7692.42574520472
2020,ORURO,11236369,9077005,149599214,187138796,8374425,702580,492.405459159327,10709.3391143974,4.59790705943139,0,9.077005,11.236369,149.599214,187.138796,8.374425,0.70258,112.017597999241,6.91,8.10319553545642,10.0308962169285,133.549742783285,167.06196110478,18434.0056170315
2020,PANDO,13849679,13849679,41779630,61015181,10919126,2930553,807.210452517225,3001.9981524201,26.8891055734489,88.4,13.849679,13.849679,41.77963,61.015181,10.919126,2.930553,112.017597999241,6.91,12.3638421528141,12.3638421528141,37.2973807207356,54.4692816930546,17157.4574595892
2020,POTOSÍ,23642165,23240165,153245293,196918307,18153108,5087057,979.425908430455,17297.9450219254,5.66209400705702,37.8,23.240165,23.642165,153.245293,196.918307,18.153108,5.087057,112.017597999241,6.91,20.746887466876,21.1057596505151,136.804659033162,175.792295601031,23728.3543348805
2020,SANTA CRUZ,46534550,45650704,960773204,1136399313,26380305,19270399,11471.7124307998,91059.925311765,12.5979813749283,134.3,45.650704,46.53455,960.773204,1136.399313,26.380305,19.270399,112.017597999241,6.91,40.753153803842,41.5421780426995,857.698451993687,1014.48284314015,3979.41495442607
2020,TARIJA,50015966,49375451,257965632,326624252,33315998,16059453,1161.51423720862,19536.7218063128,5.94528728373104,155.1,49.375451,50.015966,257.965632,326.624252,33.315998,16.059453,112.017597999241,6.91,44.0782983048205,44.6500968538345,230.290272785307,291.582981454587,42509.5529768625
2021,BENI,7595678,7595678,126287098,138040139,6733048,862630,1579.07813670348,11299.4067552496,13.9748764772085,19.6,7.595678,7.595678,126.287098,138.040139,6.733048,0.86263,112.843597532049,6.91,6.73115548079077,6.73115548079077,111.913392307555,122.328729337785,4810.19768651659
2021,CHUQUISACA,32979099,13090679,44371434,81541616,12414847,675832,1341.39140577529,14352.7277802932,9.34589874697594,159,13.090679,32.979099,44.371434,81.541616,12.414847,0.675832,112.843597532049,6.91,11.6007281638483,29.2254941540955,39.3211799077905,72.2607376788401,9759.03002184055
2021,COCHABAMBA,52804100,23621758,384882205,523991243,22356090,1265668,5669.19919280144,54692.5996276155,10.3655690740634,123.9,23.621758,52.8041,384.882205,523.991243,22.35609,1.265668,112.843597532049,6.91,20.9331840854251,46.7940593483852,341.075801744701,464.351770468129,4166.68337037692
2021,LA PAZ,132654725,17611538,663625290,842128215,17611538,,3873.22848705244,82465.1993154792,4.69680364469259,45.2,17.611538,132.654725,663.62529,842.128215,17.611538,,112.843597532049,6.91,15.6070334384705,117.556270715602,588.092992880276,746.279127409798,4546.99175606925
2021,ORURO,19870762,7666987,108769607,149442327,7366933,300054,422.812673947153,12489.7996849506,3.38526385220266,0,7.666987,19.870762,108.769607,149.442327,7.366933,0.300054,112.843597532049,6.91,6.79434825517901,17.6091177830062,96.3897016568512,132.433146645787,18133.2951267168
2021,PANDO,10298991,10298991,27718096,41951087,10298991,,849.117066923362,3573.31803550372,23.7627062155318,88.4,10.298991,10.298991,27.718096,41.951087,10.298991,,112.843597532049,6.91,9.12678364146885,9.12678364146885,24.5632863593592,37.1763112108202,12129.058996914
2021,POTOSÍ,38321746,17308394,106125763,156139728,15723665,1584729,943.132535814893,19978.8409974756,4.72065689863622,34.1,17.308394,38.321746,106.125763,156.139728,15.723665,1.584729,112.843597532049,6.91,15.3383925880989,33.9600534174003,94.0467738720036,138.368264939138,18352.027252506
2021,SANTA CRUZ,37686954,17530130,728889936,883918822,17465130,65000,12024.5348119638,98976.9581967276,12.1488223431394,119.5,17.53013,37.686954,728.889936,883.918822,17.46513,0.065,112.843597532049,6.91,15.5348911089273,33.3975119760751,645.929367674569,783.31322408341,1457.86346616573
2021,TARIJA,62128384,43525112,172326058,253159345,34060222,9464890,1281.79556775061,20419.3276167815,6.27736422964863,155.1,43.525112,62.128384,172.326058,253.159345,34.060222,9.46489,112.843597532049,6.91,38.5711843222991,55.0570748884134,152.71230425905,224.345333307988,33956.3601989834
