year,cpi_index,cpi_2010base.x,gdp_deflator.x,inflation_cpi.x,bob_per_usd,cpi_2015base,country_name,country_code,rural_electricity,agr_land_pct,agr_value_added_pct_gdp,cereal_yield_kg_ha,cpi_2010base.y,agr_employment_pct,agr_govt_exp_pct,agr_food_prod_index,gdp_const_usd,gdp_current_bob,gdp_current_usd,gdp_deflator.y,gdp_deflator_idx,gdp_per_capita_const2015,gdp_per_capita_usd,inflation_cpi.y,official_xrate,undernourishment_pct,rural_pop_pct,agro_spend_bob_current_aper,agro_spend_bob_2015,agro_spend_usd,agro_spend_usd_2015,spend_administracion_general,spend_fomento_produccion,spend_investigacion_extension,spend_riego_agua,spend_sanidad_inocuidad,gdp_bob_2015,agro_spend_pct_gdp,agr_gdp_usd,ln_agro_spend_bob_2015,ln_agro_spend_usd_2015,ln_gdp_current_usd,ln_cereal_yield_kg_ha,ln_agr_gdp_usd,ln_agr_food_prod_index
2010,74.82165525379531,99.9999999999999,75.4797499348189,2.5032760584424,7.01666666666666,74.82165525379531,Bolivia,BOL,66.4,34.772351980060925,10.389905701059378,2267.3,99.9999999999999,29.8040198576427,NA,78.67,25266542246.06118,137875561450.09195,19649723722.103382,61.643822438672416,75.4797499348189,2481.407008509452,1929.783730771584,2.5032760584424,7.01666666666666,19.9,33.5924334340867,NA,NA,NA,NA,NA,NA,NA,NA,NA,184272268479.51648,NA,2041587765.2452364,NA,NA,23.701329115218993,7.726344975232597,21.436993658368163,4.365261888341151
2011,82.21737497988586,109.884464198238,86.5015703998176,9.88446419823883,6.93696249999999,82.21737497988586,Bolivia,BOL,66.6,34.896766085110315,9.769585881695397,2045.3,109.884464198238,31.5087515949538,NA,80.5,26581436461.71756,166231574881.5821,23963164696.591965,70.64527175828503,86.5015703998176,2568.5205166367996,2315.5212193060715,9.88446419823883,6.93696249999999,18.8,33.166284366824,NA,NA,NA,NA,NA,NA,NA,NA,NA,202185456446.70602,NA,2341101955.0056643,NA,NA,23.899783683967026,7.623299756984121,21.573887576410144,4.388257184424518
2012,85.9299851602867,114.8464102656,92.6434202110263,4.51560291399375,6.91,85.9299851602867,Bolivia,BOL,72.2,35.02579562448076,9.812161914832805,2113.2,114.8464102656,29.2461174583291,NA,89.26,27943010890.653263,187153877600,27084497481.910275,75.66128068165973,92.6434202110263,2657.238849158535,2575.598570980836,4.51560291399375,6.91,18.1,32.74185551723011,NA,NA,NA,NA,NA,NA,NA,NA,NA,217798103014.79584,NA,2657574746.74385,NA,NA,24.02222735251182,7.655958665290161,21.700679794499354,4.491553459201124
2013,90.85927303284464,121.434460016488,98.1977530505842,5.73640023719606,6.91,90.85927303284464,Bolivia,BOL,68.5,35.15574836148805,9.966979476846303,1717.9,121.434460016488,31.1048260743279,NA,93.43,29842021104.139683,211856031700,30659338885.672935,80.19746830314321,98.1977530505842,2793.5145709867556,2870.0237700075613,5.73640023719606,6.91,18,32.3302944480111,NA,NA,NA,NA,NA,NA,NA,NA,NA,233169410923.4358,NA,3055810014.47178,NA,NA,24.14620314739416,7.4488578936323995,21.840310538278832,4.537212492804865
2014,96.09876454917688,128.437100493446,100.210313765951,5.76660074579143,6.91,96.09876454917688,Bolivia,BOL,70.3,35.282931782516386,9.740217537701692,1958.1,128.437100493446,29.1229457953441,NA,96.04,31471565408.631214,228003659200,32996188017.366135,81.84111359200882,100.210313765951,2900.9024158633783,3041.435031624083,5.76660074579143,6.91,17.2,31.96257458700001,NA,NA,NA,NA,NA,NA,NA,NA,NA,237259719487.15646,NA,3213900492.0405207,NA,NA,24.219657877115296,7.579729894309281,21.89075114299853,4.564764771353053
2015,100,133.651146397122,95.5799937448752,4.05961041135644,6.91,100,Bolivia,BOL,74.3,35.28200867719007,10.239494114445522,2280.2,133.651146397122,27.9913929784824,NA,101.79,33000198248.914616,228031369900,33000198248.914616,78.05956124903064,95.5799937448752,2996.0128981134417,2996.0128981134417,4.05961041135644,6.91,16.1,31.6041948702335,NA,NA,NA,NA,NA,NA,NA,NA,NA,228031369900,NA,3379053357.452966,NA,NA,24.219779405937715,7.73201843739962,21.94086143545444,4.622911867464248
2016,103.62321431764184,138.493613869075,94.2850085286961,3.62321431764138,6.91,103.62321431764184,Bolivia,BOL,74.9,35.15462014215822,11.17187541505321,2111.3,138.493613869075,27.5245435383413,NA,102.17,34407300587.15237,234533182000,33941126193.921852,77.00195521832984,94.2850085286961,3077.570575647662,3035.8734773213155,3.62321431764138,6.91,14.9,31.255367212305305,NA,NA,NA,NA,NA,NA,NA,NA,NA,226332664494.5338,NA,3791860332.85094,NA,NA,24.247893278108933,7.655059150494037,22.056122588606794,4.626638092603332
2017,106.54824694713164,142.402953510878,100,2.8227580554717,6.91,106.54824694713166,Bolivia,BOL,74.8,35.022616080494785,7.677137224747516,1845.6,142.402953510878,28.2661150516845,NA,101.63,35850757840.606766,317358607600,45927439594.79016,100,100,3160.164212289682,4048.4011973983856,2.8227580554717,6.91,14.2,30.916198372526395,NA,NA,NA,NA,NA,NA,NA,NA,NA,297854368038.0501,NA,3525912561.505065,NA,NA,24.550328587916848,7.520559706859544,21.983405122402772,4.621338767149675
2018,108.96908691065828,145.638433874571,102.475118360273,2.27205987230154,6.91,108.96908691065828,Bolivia,BOL,77.6,35.263130250161545,7.45035399971013,2333.7,145.638433874571,28.7570263173778,NA,109.51,36878987707.37335,334541008400,48414038842.2576,102.47511836027346,102.475118360273,3204.536708191235,4206.855293666104,2.27205987230154,6.91,13.7,30.586612018600107,NA,NA,NA,NA,NA,NA,NA,NA,NA,307005425010.38293,NA,3607017279.305355,NA,NA,24.603055667334427,7.755210269880838,22.006147029348536,4.696015869287668
2019,110.97362235461588,148.317518475357,102.293996478295,1.83954504969025,6.91,110.97362235461587,Bolivia,BOL,84.9,35.544415120465246,7.632882645016053,2030.1,148.317518475357,25.1991880579003,NA,109.9,37434651169.582886,338981407200,49056643589.00145,102.29399647829528,102.293996478295,3207.3869521223005,4203.15492855788,1.83954504969025,6.91,13.6,30.2665013291613,NA,NA,NA,NA,NA,NA,NA,NA,NA,305461243859.18115,NA,3744436034.732272,NA,NA,24.616241459025485,7.6158403319062895,22.04353685104879,4.699570861409576
2020,112.01759799924083,149.712803892505,101.092002918913,0.940742153381849,6.91,112.01759799924082,Bolivia,BOL,90.9,35.564590972029904,9.124055868346664,2024,149.712803892505,27.8784641014283,NA,109.48,32673162315.338806,292388248000,42313784081.04197,101.09200291891312,101.092002918913,2765.0927177231047,3580.967617783027,0.940742153381849,6.91,16,29.9557364471746,NA,NA,NA,NA,NA,NA,NA,NA,NA,261019922960.6598,NA,3860733299.5658464,NA,NA,24.46837873471629,7.6128310304073565,22.074122976361167,4.695741884172478
2021,112.84359753204902,150.816761737338,103.959121577863,0.737383721452274,6.91,112.84359753204902,Bolivia,BOL,95.1,35.68278796270655,8.810019122557634,2523,150.816761737338,27.6474189108283,NA,116.96,35949969735.497,330836236500,47877892402.31548,103.95912157786344,103.959121577863,3011.5511080755714,4010.7605368620434,0.737383721452274,6.91,19.1,29.654958717383497,NA,NA,NA,NA,NA,NA,NA,NA,NA,293181220499.4956,NA,4218051476.121563,NA,NA,24.591919698336426,7.833203948641057,22.162639122845444,4.761831996001468
2022,114.81421769510712,153.450518176398,106.65270527767,1.74632872945968,6.91,114.81421769510712,Bolivia,BOL,95.6,35.83070146773747,8.660284813061772,1716.7,153.450518176398,24.8081351819188,NA,115.45,37297165304.92267,352127256300,50959081953.6903,106.65270527767004,106.65270527767,3088.2412615524054,4219.461137424454,1.74632872945968,6.91,21.6,29.3647401291869,NA,NA,NA,NA,NA,NA,NA,NA,NA,306693076318.37494,NA,4413201635.311143,NA,NA,24.654288833010572,7.448159122276883,22.20786625740033,4.748837535800504
2023,117.77285149880278,157.40476617273,106.85442544597,2.57688800489192,6.91,117.7728514988028,Bolivia,BOL,99.6,35.83070146773747,9.310980097565514,1980,157.40476617273,25.0789048195618,NA,NA,38235698454.90008,361670830000,52340206946.454414,106.8544254459696,106.85442544597,3122.770494478231,4274.70820547613,2.57688800489192,6.91,21.8,29.08485859554619,NA,NA,NA,NA,NA,NA,NA,NA,NA,307091851302.9945,NA,4873386251.808972,NA,NA,24.681030687927763,7.590852123688581,22.30705486132531,NA
