municipio,dept,year,area_antropico,area_natural,area_no_def,area_total_ha,antropico_share,natural_share
Rurrenabaque,Beni,2018,42249.0380433598,209469.65712231,,251718.69516567,16.7842273358177,83.2157726641824
Rurrenabaque,Beni,2019,44555.382326246,207163.312839423,,251718.695165669,17.7004661083762,82.2995338916238
Rurrenabaque,Beni,2020,46570.1274936825,205148.567671995,,251718.695165677,18.5008616316841,81.4991383683159
Rurrenabaque,Beni,2021,48332.2715739622,203386.423591711,,251718.695165673,19.2009066081292,80.7990933918708
Rurrenabaque,Beni,2022,48617.4203308106,203101.274834879,,251718.695165689,19.314187330746,80.6858126692541
Rurrenabaque,Beni,2023,42054.7135902477,209663.98157544,,251718.695165688,16.7070282811399,83.2929717188601
Rurrenabaque,Beni,2024,47780.1824542409,203938.512711448,,251718.695165689,18.9815787908762,81.0184212091238
Sabaya,Oruro,1985,6983.76601967774,353485.555568324,0.0844979431152344,360469.406085945,1.93740880689681,98.0625677520173
Sabaya,Oruro,1986,6973.73680751953,353495.584780487,0.0844979431152344,360469.406085949,1.93462654244137,98.0653500164727
Sabaya,Oruro,1987,7030.26380927735,353439.05777873,0.0844979431152344,360469.406085951,1.95030804017833,98.0496685187358
Sabaya,Oruro,1988,7050.55156481323,353418.770023191,0.0844979431152344,360469.406085947,1.95593618925101,98.0440403696631
Sabaya,Oruro,1989,7042.60132082519,353426.720267174,0.0844979431152344,360469.406085942,1.95373066394049,98.0462458949737
Sabaya,Oruro,1990,6987.54029138793,353481.78129661,0.0844979431152344,360469.406085941,1.93845585045906,98.0615207084551
Sabaya,Oruro,1991,7040.20722574465,353429.114362258,0.0844979431152344,360469.406085946,1.95306650353181,98.0469100553823
Sabaya,Oruro,1992,6981.8655984314,353487.455989569,0.0844979431152344,360469.406085943,1.93688159953491,98.0630949593792
Sabaya,Oruro,1993,7017.65418262332,353451.667405383,0.0844979431152344,360469.40608595,1.94680992731739,98.0531666315967
Sabaya,Oruro,1994,7001.15164157714,353468.169946429,0.0844979431152344,360469.406085949,1.94223185750965,98.0577447014045
Sabaya,Oruro,1995,7069.39026534427,353399.931322654,0.0844979431152344,360469.406085942,1.96116234720314,98.038814211711
Sabaya,Oruro,1996,7043.98702635497,353425.334561647,0.0844979431152344,360469.406085946,1.95411508089968,98.0458614780144
Sabaya,Oruro,1997,6983.51008004764,353485.811507957,0.0844979431152344,360469.406085948,1.93733780513471,98.0626387537794
Sabaya,Oruro,1998,7068.18581635132,353401.135771655,0.0844979431152344,360469.406085949,1.96082821371698,98.0391483451971
Sabaya,Oruro,1999,6968.4914058838,353500.830182124,0.0844979431152344,360469.40608595,1.93317138382119,98.0668051750929
Sabaya,Oruro,2000,6987.09450593261,353482.227082066,0.0844979431152344,360469.406085942,1.93833218241738,98.0616443764967
Sabaya,Oruro,2001,7008.22016847534,353461.101419532,0.0844979431152344,360469.406085951,1.94419278034494,98.0557837785692
Sabaya,Oruro,2002,7011.03030651245,353458.291281494,0.0844979431152344,360469.406085949,1.94497235774865,98.0550042011655
Sabaya,Oruro,2003,7081.98398317871,353387.337604827,0.0844979431152344,360469.406085949,1.96465604670209,98.035320512212
Sabaya,Oruro,2004,7036.63780180664,353432.6837862,0.0844979431152344,360469.40608595,1.95207628803007,98.047900270884
Sabaya,Oruro,2005,6978.04050229492,353491.281085707,0.0844979431152344,360469.406085945,1.93582045646092,98.0641561024532
Sabaya,Oruro,2006,6999.355521875,353469.966066134,0.0844979431152344,360469.406085952,1.94173358507047,98.0582429738436
Sabaya,Oruro,2007,7018.61889074097,353450.702697264,0.0844979431152344,360469.406085949,1.94707755283606,98.0528990060781
Sabaya,Oruro,2008,7044.19752897339,353425.124059027,0.0844979431152344,360469.406085944,1.95417347770532,98.0458030812088
Sabaya,Oruro,2009,6992.7054552063,353476.616132794,0.0844979431152344,360469.406085943,1.93988874982059,98.0600878090935
Sabaya,Oruro,2010,7025.0350911438,353444.286496857,0.0844979431152344,360469.406085944,1.94885750982952,98.0511190490846
Sabaya,Oruro,2011,7118.60246867678,353350.719119333,0.0844979431152344,360469.406085953,1.97481460242964,98.0251619564845
Sabaya,Oruro,2012,7123.38635202027,353345.935235988,0.0844979431152344,360469.406085951,1.97614172846662,98.0238348304475
Sabaya,Oruro,2013,7085.41315063479,353383.908437373,0.0844979431152344,360469.406085951,1.96560735280412,98.03436920611
Sabaya,Oruro,2014,9047.23078781743,351422.090800188,0.0844979431152344,360469.406085948,2.50984705915937,97.4901294997547
Sabaya,Oruro,2015,8982.2633577393,351487.05823027,0.0844979431152344,360469.406085952,2.49182405110894,97.5081525078052
Sabaya,Oruro,2016,9038.56914398198,351430.752444025,0.0844979431152344,360469.40608595,2.50744418011076,97.4925323788034
Sabaya,Oruro,2017,9004.3632230103,351464.958365001,0.0844979431152344,360469.406085955,2.4979549085126,97.5020216504015
Sabaya,Oruro,2018,8967.44213558354,351501.879452427,0.0844979431152344,360469.406085953,2.48771240615224,97.5122641527619
Sabaya,Oruro,2019,9001.24068608403,351468.080901923,0.0844979431152344,360469.40608595,2.49708866664201,97.5028878922721
Sabaya,Oruro,2020,8941.76844719243,351527.553140818,0.0844979431152344,360469.406085954,2.4805901128431,97.519386446071
Sabaya,Oruro,2021,9057.75128942877,351411.570298577,0.0844979431152344,360469.406085949,2.51276561519595,97.4872109437182
Sabaya,Oruro,2022,9009.7781978272,351459.543390182,0.0844979431152344,360469.406085952,2.49945710945546,97.5005194494586
Sabaya,Oruro,2023,9254.9153820313,351214.40620595,0.0844979431152344,360469.406085925,2.56746209963384,97.4325144592803
Sabaya,Oruro,2024,11188.0831814944,349281.069410476,0,360469.152591971,3.10375606374246,96.8962439362576
Sacaba,Cochabamba,1985,9305.55159593499,60755.2781243707,,70060.8297203057,13.2821030425764,86.7178969574236
Sacaba,Cochabamba,1986,10130.5697701415,59930.2599501635,,70060.829720305,14.4596771271258,85.5403228728742
Sacaba,Cochabamba,1987,10357.7723034058,59703.0574168996,,70060.8297203053,14.783970365118,85.216029634882
Sacaba,Cochabamba,1988,11362.9532895386,58697.8764307667,,70060.8297203053,16.2186964312319,83.7813035687682
Sacaba,Cochabamba,1989,11720.9173058411,58339.9124144641,,70060.8297203052,16.7296295984975,83.2703704015025
Sacaba,Cochabamba,1990,11730.4920914429,58330.3376288625,,70060.8297203054,16.7432959876054,83.2567040123946
Sacaba,Cochabamba,1991,11651.0372729004,58409.7924474048,,70060.8297203053,16.6298876553609,83.3701123446391
Sacaba,Cochabamba,1992,11630.536118805,58430.2936015005,,70060.8297203055,16.6006257208715,83.3993742791285
Sacaba,Cochabamba,1993,11825.1170061524,58235.7127141528,,70060.8297203052,16.8783570696498,83.1216429303502
Sacaba,Cochabamba,1994,10283.2725217469,59777.5571985581,,70060.829720305,14.6776345110378,85.3223654889622
Sacaba,Cochabamba,1995,10340.5392621339,59720.2904581714,,70060.8297203053,14.7593731096464,85.2406268903536
Sacaba,Cochabamba,1996,10962.7239124147,59098.1058078913,,70060.829720306,15.6474366007077,84.3525633992923
Sacaba,Cochabamba,1997,11238.4464989075,58822.3832213974,,70060.829720305,16.0409840188496,83.9590159811504
Sacaba,Cochabamba,1998,11560.0644258728,58500.7652944323,,70060.8297203051,16.5000392830382,83.4999607169618
Sacaba,Cochabamba,1999,11609.5765890137,58451.2531312913,,70060.829720305,16.5707095325036,83.4292904674964
Sacaba,Cochabamba,2000,11764.8988210633,58295.9308992417,,70060.8297203049,16.7924057822763,83.2075942177237
Sacaba,Cochabamba,2001,11898.209843103,58162.6198772019,,70060.8297203049,16.9826847478152,83.0173152521848
Sacaba,Cochabamba,2002,12006.2483034729,58054.5814168325,,70060.8297203054,17.1368914005213,82.8631085994787
Sacaba,Cochabamba,2003,12044.3142973389,58016.5154229666,,70060.8297203055,17.191224176793,82.8087758232071
Sacaba,Cochabamba,2004,12134.3791225037,57926.4505978017,,70060.8297203054,17.3197765012864,82.6802234987136
Sacaba,Cochabamba,2005,12299.6506079896,57761.1791123155,,70060.8297203051,17.555673629747,82.444326370253
Sacaba,Cochabamba,2006,12123.4257970765,57937.4039232293,,70060.8297203058,17.3041424794357,82.6958575205643
Sacaba,Cochabamba,2007,11765.0961692994,58295.7335510065,,70060.8297203059,16.7926874635478,83.2073125364522
Sacaba,Cochabamba,2008,11759.4573465577,58301.3723737484,,70060.8297203061,16.7846389965739,83.2153610034261
Sacaba,Cochabamba,2009,12068.2088062256,57992.62091408,,70060.8297203056,17.2253295520533,82.7746704479467
Sacaba,Cochabamba,2010,11985.9809535766,58074.8487667292,,70060.8297203058,17.1079631820328,82.8920368179672
Sacaba,Cochabamba,2011,11356.9438739685,58703.8858463371,,70060.8297203056,16.2101190055946,83.7898809944054
Sacaba,Cochabamba,2012,11304.7297124085,58756.1000078972,,70060.8297203057,16.1355921097978,83.8644078902022
Sacaba,Cochabamba,2013,11342.9427683411,58717.8869519642,,70060.8297203053,16.1901347923284,83.8098652076716
Sacaba,Cochabamba,2014,11329.4278639099,58731.4018563952,,70060.8297203051,16.1708445491424,83.8291554508576
Sacaba,Cochabamba,2015,12665.1225316712,57395.7071886356,,70060.8297203068,18.0773230665869,81.9226769334131
Sacaba,Cochabamba,2016,13561.8588417786,56498.970878528,,70060.8297203066,19.3572626757627,80.6427373242373
Sacaba,Cochabamba,2017,14498.822210431,55562.0075098759,,70060.8297203069,20.694619616,79.305380384
Sacaba,Cochabamba,2018,14964.194358313,55096.6353619939,,70060.8297203069,21.3588597480965,78.6411402519035
Sacaba,Cochabamba,2019,16548.5535904297,53512.2761298769,,70060.8297203066,23.6202649276265,76.3797350723735
Sacaba,Cochabamba,2020,21210.5777358522,48850.2519844543,,70060.8297203065,30.2745169027088,69.7254830972913
Sacaba,Cochabamba,2021,21324.3222101381,48736.5075101684,,70060.8297203065,30.4368679264406,69.5631320735594
Sacaba,Cochabamba,2022,21936.70262782,48124.1270924863,,70060.8297203063,31.3109375315633,68.6890624684367
Sacaba,Cochabamba,2023,24784.6622101808,45276.167510125,,70060.8297203058,35.3759187681979,64.6240812318021
Sacaba,Cochabamba,2024,25086.6065286074,44974.2231916986,,70060.829720306,35.8068932793933,64.1931067206067
Sacabamba,Cochabamba,1985,4776.65288813474,13771.7620097535,,18548.4148978882,25.7523508851345,74.2476491148655
Sacabamba,Cochabamba,1986,6050.86705974734,12497.5478381409,,18548.4148978882,32.6220169920624,67.3779830079376
Sacabamba,Cochabamba,1987,6537.66147373048,12010.7534241577,,18548.4148978882,35.2464698990253,64.7535301009747
Sacabamba,Cochabamba,1988,6294.11605430911,12254.2988435791,,18548.4148978882,33.9334443884244,66.0665556115757
Sacabamba,Cochabamba,1989,6346.44708020021,12201.967817688,,18548.4148978882,34.2155764529656,65.7844235470345
Sacabamba,Cochabamba,1990,6327.01330993043,12221.4015879578,,18548.4148978882,34.1108032398541,65.889196760146
Sacabamba,Cochabamba,1991,6351.55979802858,12196.8550998597,,18548.4148978883,34.2431406295085,65.7568593704915
Sacabamba,Cochabamba,1992,7083.49837191773,11464.9165259705,,18548.4148978882,38.1892383306792,61.8107616693208
Sacabamba,Cochabamba,1993,7204.36742380981,11344.0474740784,,18548.4148978882,38.8408791989554,61.1591208010446
Sacabamba,Cochabamba,1994,6697.21026680911,11851.2046310792,,18548.4148978883,36.1066447115736,63.8933552884264
Sacabamba,Cochabamba,1995,6924.11330790406,11624.3015899842,,18548.4148978882,37.3299462300274,62.6700537699727
Sacabamba,Cochabamba,1996,7024.27058382566,11524.1443140625,,18548.4148978882,37.8699237778285,62.1300762221715
Sacabamba,Cochabamba,1997,7041.49012130736,11506.9247765808,,18548.4148978882,37.9627594059753,62.0372405940247
Sacabamba,Cochabamba,1998,7076.69527222289,11471.7196256653,,18548.4148978882,38.1525608046896,61.8474391953104
Sacabamba,Cochabamba,1999,7285.35710373534,11263.0577941528,,18548.4148978882,39.2775185580134,60.7224814419866
Sacabamba,Cochabamba,2000,7318.08945103759,11230.3254468506,,18548.4148978882,39.4539883398381,60.5460116601619
Sacabamba,Cochabamba,2001,7287.31396661986,11261.1009312683,,18548.4148978882,39.2880685855779,60.7119314144222
Sacabamba,Cochabamba,2002,7229.26462279052,11319.1502750977,,18548.4148978882,38.9751073748819,61.0248926251181
Sacabamba,Cochabamba,2003,7210.43114765014,11337.983750238,,18548.4148978882,38.8735705306607,61.1264294693393
Sacabamba,Cochabamba,2004,7212.31199458007,11336.1029033081,,18548.4148978882,38.8837107336931,61.116289266307
