year,cpi_2015base,bob_per_usd,inv_agro_usd_mm,inv_agro_bob_mm_current,inv_agro_bob_mm_2015,inv_agro_pct_gdp,inv_agro_pct_total,inv_pub_total_usd_mm,emapa_bob_mm,emapa_bob_mm_2015,tfp_index,tfp_output,tfp_input,agr_value_added_pct_gdp,cereal_yield_kg_ha,undernourishment_pct,agr_employment_pct,gdp_current_usd,gdp_per_capita_usd,cpi_index,cpi_2010base,gdp_deflator,inflation_cpi,inv_productivos_usd_mm,inv_hidrocarb_usd_mm,inv_infraestr_usd_mm,inv_sociales_usd_mm,inv_multisec_usd_mm,agr_food_prod_index,rural_pop_pct,gdp_per_capita_const2015,agr_gdp_usd,aper_agro_spend_bob_current_aper,aper_agro_spend_bob_2015,aper_agro_spend_usd,aper_agro_spend_usd_2015,aper_spend_administracion_general,aper_spend_fomento_produccion,aper_spend_investigacion_extension,aper_spend_riego_agua,aper_spend_sanidad_inocuidad,aper_agro_spend_pct_gdp,tfp_per_mbob,PSE_BOB_mm,MPS_BOB_mm,GSSE_BOB_mm,CSE_BOB_mm,TSE_BOB_mm,GDP_BOB_mm,PSEP_pct,GSSEP_pct,TSEP_pct,CSEP_pct,NPC_producer,NAC_producer,bob_per_usd_idb,PSE_USD_mm,MPS_USD_mm,GSSE_USD_mm,CSE_USD_mm,TSE_USD_mm,GDP_USD_mm,BT_BOB_mm_agg,GHG_total_GgCO2e,GSSE_pct_total_support,PSE_BOB_2015,MPS_BOB_2015,BT_agg_BOB_2015,GSSE_BOB_2015,TSE_BOB_2015,CSE_BOB_2015,mun_p10_agropecuario_bob_mm,mun_p10_corriente_bob_mm,mun_p10_inversion_bob_mm,mun_p10_pct_presup_total,mun_agro_strict_bob_mm,mun_rural_infra_bob_mm,mun_rural_total_bob_mm,mun_p10_agropecuario_bob_mm_2015,mun_agro_strict_bob_mm_2015,mun_rural_infra_bob_mm_2015,mun_rural_total_bob_mm_2015
2011,82.2173749798859,6.93696249999999,135,936.489937499999,1139.04139815837,0.563364654499076,6.18698441796517,2182,747,908.567076220507,84.2662,79.1952,93.9821,9.7695858816954,2045.3,18.8,31.5087515949538,23963164696.592,2315.52121930607,82.2173749798859,109.884464198238,86.5015703998176,9.88446419823883,658,308,853,566,104,80.5,33.166284366824,2568.5205166368,2341101955.00566,,,,,,,,,,,0.0739799274514903,707.0263589,164.8249891,779.0788701,-741.8148377,1486.105229,166231.5629,2.425385624,52.42420623,0.893997026,-2.75416802,0.99294806,1.024856728,,,,,,,,-332.21290341,,52.4242062336489,859.947619433205,200.474643152161,-404.066541277041,947.58421840955,1807.53183784275,-902.260425951913,,,,,,,,,,,
2012,85.9299851602867,6.91,180,1243.8,1447.45748260042,0.664586818050517,6.2133241284087,2897,769,894.914619810036,95.0523,87.8731,92.4471,9.8121619148328,2113.2,18.1,29.2461174583291,27084497481.9103,2575.59857098084,85.9299851602867,114.8464102656,92.6434202110263,4.51560291399375,933,488,1035,743,187,89.26,32.7418555172301,2657.23884915854,2657574746.74385,,,,,,,,,,,0.0656684573761949,-94.81211354,-783.9613001,1065.625294,-575.3319195,978.7242472,187153.8776,-0.298654669,,0.522951627,-2.12680789,1.007492765,0.997022346,,,,,,,,-907.751761835,,109.766257344701,-110.336471446079,-912.325655168756,-1056.38533527238,1240.10878392714,1138.97872247315,-669.535690512251,313.520356,313.520356,0,2.7,1197.360273,2969.56812,4936.564343,364.85559192776,1393.41380167417,3455.7996425355,5744.8681432817
2013,90.8592730328446,6.91,223,1540.93,1695.95237620157,0.727347712328551,5.89791060565988,3781,1185,1304.21470527465,91.4108,91.6948,100.3107,9.9669794768463,1717.9,18,31.1048260743279,30659338885.6729,2870.02377000756,90.8592730328446,121.434460016488,98.1977530505842,5.73640023719606,1190,578,1329,1084,178,93.43,32.3302944480111,2793.51457098676,3055810014.47178,,,,,,,,,,,0.0538993908571496,559.7518304,-378.981339,1805.042976,-186.059945,2379.882846,211856.0317,1.578035927,75.84587532,1.12334911,-0.652603678,1.002866688,1.016033372,,,,,,,,-518.903243924,,76.3297928054854,616.064614778126,-417.108046707574,-571.106532776706,1986.63594341933,2619.30650175871,-204.77815724185,387.215078,387.215078,0,2.75,1216.152876,3592.90432,5580.228473,426.170125596345,1338.5016580095,3954.3617289357,6141.61690572057
2014,96.0987645491769,6.91,275,1900.25,1977.3927468418,0.833429606642032,6.10161970268471,4507,1564,1627.49230683361,94.8488,94.2843,99.4048,9.74021753770169,1958.1,17.2,29.1229457953441,32996188017.3661,3041.43503162408,96.0987645491769,128.437100493446,100.210313765951,5.76660074579143,1363,646,1440,1448,257,96.04,31.962574587,2900.90241586338,3213900492.04052,,,,,,,,,,,0.0479665964950505,828.7443823,-145.1995428,1630.424045,-715.0606304,2474.367601,228003.6592,1.874478641,65.8925555,1.085231531,-1.875629737,0.982763647,1.019102866,,,,,,,,-600.639163988,,66.2998120380919,862.388175527381,-151.09407855675,-625.02277402394,1696.61290928008,2574.81728574542,-744.089306199228,449.048251,449.048251,0,2.73,1383.805554,4611.63015,6979.247198,467.277860549609,1439.98266834311,4798.84436770264,7262.5774438843
2015,100,6.91,320,2211.2,2211.2,0.969691144235853,6.54129190515127,4892,777,777,100,100,100,10.2394941144455,2280.2,16.1,27.9913929784824,33000198248.9146,2996.01289811344,100,133.651146397122,95.5799937448752,4.05961041135644,1709,678,1696,1341,146,101.79,31.6041948702335,2996.01289811344,3379053357.45297,,,,,,,,,,,0.0452243125904486,-1274.640956,-2295.313382,1796.131385,13.6437254,536.1502447,228031.3699,-2.955128997,,0.235121266,0.036500346,0.979963065,0.971296923,,,,,,,,-1981.481528871,,344.422694093203,-1274.640956,-2295.313382,-1981.481528871,1796.131385,536.1502447,13.6437254,547.570164,547.570164,0,2.88,1677.52672,4561.557077,7566.956846,547.570164,1677.52672,4561.557077,7566.956846
2016,103.623214317642,6.91,236,1630.76,1573.74002605357,0.695321653888617,4.65942744323791,5065,443,427.510382607944,99.488,100.2929,100.8091,11.1718754150532,2111.3,14.9,27.5245435383413,33941126193.9219,3035.87347732132,103.623214317642,138.493613869075,94.2850085286961,3.62321431764138,1866,530,1822,1192,185,102.17,31.2553672123053,3077.57057564766,3791860332.85094,,,,,,,,,,,0.0632175571269442,2915.426895,2198.708976,1291.319689,-2649.216937,4221.852237,234533.182,7.160864983,30.58656761,1.80010871,-7.422671027,0.947420997,1.077131966,,,,,,,,0.341325530000006,,30.6963983500081,2813.48818814208,2121.83050919476,0.329390988542126,1246.16833930826,4074.2340071198,-2556.58633487204,565.692815,565.692815,0,3.41,1409.984124,3815.122421,6327.036281,545.913209433893,1360.68363955387,3681.72561150757,6105.80970940102
2017,106.548246947132,6.91,227,1568.57,1472.16875447825,0.494257903342276,4.7569153394803,4772,759,712.353343904954,94.5064,99.8077,105.6094,7.67713722474752,1845.6,14.2,28.2661150516845,45927439594.7902,4048.40119739839,106.548246947132,142.402953510878,100,2.8227580554717,1720,341,1628,1194,230,101.63,30.9161983725264,3160.16421228968,3525912561.50507,,,,,,,,,,,0.0641953578436691,1131.792702,263.7260403,1532.105164,-1721.590444,2678.094593,259184.7174,2.394758718,57.20877701,1.033276429,-3.958656374,0.974248572,1.024535145,,,,,,,,-621.052646243,,57.5136600976578,1062.23493527921,247.517953468403,-582.883964811886,1437.94497600718,2513.50413520069,-1615.78486115707,601.188922,601.188922,0,3.78,1444.956231,3446.642359,5856.512245,564.241026225711,1356.15204604631,3234.81845807392,5496.58245236635
2018,108.969086910658,6.91,274,1893.34,1737.50194085072,0.565951543296657,6.14625392552714,4458,435,399.195783256079,94.9291,107.6175,113.3662,7.45035399971013,2333.7,13.7,28.7570263173778,48414038842.2576,4206.85529366611,108.969086910658,145.638433874571,102.475118360273,2.27205987230154,1420,162,1518,1278,241,109.51,30.5866120186001,3204.53670819124,3607017279.30536,,,,,,,,,,,0.0546353922076889,2983.078342,1632.946155,2286.579205,-2869.971752,5278.157547,278387.6472,5.862010336,43.32154137,1.895974049,-6.394635841,0.961446373,1.062270401,,,,,,,,-640.23042088,,43.3914193589628,2737.54550631939,1498.54073416144,-587.53398695991,2098.37419934951,4843.72008304288,-2633.74855508612,727.007962,727.007962,0,4.22,1791.101087,3654.802844,6944.921376,667.168994997692,1643.67816394432,3353.98134243017,6373.29500768783
2019,110.973622354616,6.91,247,1706.77,1537.99611455957,0.503499591348679,6.55346245688512,3769,521,469.480935149748,97.6085,108.0741,110.722,7.63288264501605,2030.1,13.6,25.1991880579003,49056643589.0015,4203.15492855788,110.973622354616,148.317518475357,102.293996478295,1.83954504969025,1107,134,1307,1171,185,109.9,30.2665013291613,3207.3869521223,3744436034.73227,,,,,,,,,,,0.0634647246998748,3577.76415,2213.214888,2223.249772,-4228.396688,5809.513921,282586.6809,6.489050968,38.26911858,2.055834303,-8.5491373,0.930760352,1.069393489,,,,,,,,-1022.818360822,27886.2685,38.3251928351431,3223.97708039778,1994.36121939651,-921.677006769759,2003.40380428027,5235.04036160568,-3810.27184504095,446.285653,446.285653,0,2.42,1459.831252,4104.804178,7126.266239,402.154713463255,1315.47589510516,3698.90077561234,6421.58567756583
2020,112.017597999241,6.91,134,925.94,826.602262982175,0.316681674565799,7.51121076233184,1784,547,488.316130474166,91.4817,108.2976,118.3817,9.12405586834666,2024,16,27.8784641014283,42313784081.042,3580.96761778303,112.017597999241,149.712803892505,101.092002918913,0.940742153381849,474,87,517,711,82,109.48,29.9557364471746,2765.0927177231,3860733299.56585,,,,,,,,,,,0.110671968970853,3372.101497,2651.322406,1320.403951,-3457.450044,4692.505449,253112.2207,6.032097623,28.13857045,1.853922911,-6.778721274,0.95559157,1.064193171,,,,,,,,-276.59480544,28683.7356,28.1385704424226,3010.33190965482,2366.88025217071,-246.92085027736,1178.74688851028,4189.07879905781,-3086.52399779491,1126.566323,833.454495,293.111828,6.25,1970.865743,4128.59281,7319.41489,1005.70476703815,1759.42510659205,3685.66447035222,6534.16518541096
2021,112.843597532049,6.91,182,1257.62,1114.48059748611,0.380133691914973,6.87830687830688,2646,793,702.742572324299,93.5559,115.1836,123.1173,8.81001912255763,2523,19.1,27.6474189108283,47877892402.3155,4010.76053686204,112.843597532049,150.816761737338,103.959121577863,0.737383721452274,863,106,881,791,111,116.96,29.6549587173835,3011.55110807557,4218051476.12156,,,,,,,,,,,0.083945741371389,51.97980465,-985.7951128,1860.447715,-360.2458511,1922.92752,279206.2318,0.090686403,96.75079773,0.68871225,-0.768235397,0.994745481,1.000907687,,,,,,,,-987.905382114,29370.7247999999,97.2819987102302,46.0635833904862,-873.594190862288,-875.464274199006,1648.69585487259,1704.06435283478,-319.243500720265,741.56065,741.56065,0,5.29,1520.345104,3043.909369,5707.269681,657.157930284337,1347.30293720758,2697.45863794841,5057.68143325904
2022,114.814217695107,6.91,188,1299.08,1131.46265861407,0.368923443657889,7.13743356112377,2634,923,803.907406703808,97.8081,114.5832,117.151,8.66028481306177,1716.7,21.6,24.8081351819188,50959081953.6903,4219.46113742445,114.814217695107,153.450518176398,106.65270527767,1.74632872945968,938,150,843,760,92,115.45,29.3647401291869,3088.24126155241,4413201635.31114,,,,,,,,,,,0.0864439486847985,2104.354439,1116.321427,1792.66728,-2076.054744,3907.521718,304097.2347,3.457983228,45.87734654,1.284957991,-4.608356644,0.967914708,1.035818427,,,,,,,,-558.192995998,30048.7779,46.0009568655935,1832.83436602615,972.285009130514,-486.170621725873,1561.36349311763,3403.3430671248,-1808.18611638589,,,,,,,,,,,
2023,117.772851498803,6.91,244,1686.04,1431.60327574911,0.466180808665161,9.17983446200151,2658,1604,1361.94375833407,100.4615,120.9232,120.3677,9.31098009756551,1980,21.8,25.0789048195618,52340206946.4544,4274.70820547613,117.772851498803,157.40476617273,106.85442544597,2.57688800489192,1131,296,673,735,119,,29.0848585955462,3122.77049447823,4873386251.80897,,,,,,,,,,,0.0701741199547281,3938.053059,2959.961784,2015.405168,-2985.118108,5963.958226,311885.6002,5.794773175,33.79307988,1.912226221,-5.537348065,0.967134028,1.061512226,,,,,,,,-269.104378232,31512.8951966846,33.8526800920476,3343.76981527023,2513.28022233553,-228.494406654267,1711.26464405975,5063.94992572684,-2534.64025877844,,,,,,,,,,,
2024,,,261,,,,10.7407407407407,2430,970,,,,,,,,,,,,,,,936,160,609,773,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
