dept,year,defor_ha,forest_area_2000_ha,defor_pct_2000
Pando,2013,6670.63189845532,5914883.15569681,0.112777069687854
Pando,2014,9344.25744292885,5914883.15569681,0.157978732579512
Pando,2015,5301.79897256941,5914883.15569681,0.0896348893631665
Pando,2016,10533.7484047636,5914883.15569681,0.178088867142173
Pando,2017,10893.7605041116,5914883.15569681,0.184175413399663
Pando,2018,8314.19959340245,5914883.15569681,0.140564054682885
Pando,2019,7768.19674237818,5914883.15569681,0.13133305490399
Pando,2020,10441.2314157858,5914883.15569681,0.176524728231184
Pando,2021,10166.6375765353,5914883.15569681,0.171882306191349
Pando,2022,14529.4980489016,5914883.15569681,0.245643027367459
Pando,2023,15682.8867233247,5914883.15569681,0.265142798437531
Potosí,2001,2.11668518930674,23076.5168317407,0.00917246395866524
Potosí,2002,2.3341952636838,23076.5168317407,0.0101150242070901
Potosí,2003,3.7275371029973,23076.5168317407,0.0161529451354211
Potosí,2004,24.7845244705677,23076.5168317407,0.107401496730554
Potosí,2005,3.43519075959921,23076.5168317407,0.0148860886790083
Potosí,2006,1.09627964347601,23076.5168317407,0.00475062875159792
Potosí,2007,1.24232580512762,23076.5168317407,0.00538350659324312
Potosí,2008,4.89777928590775,23076.5168317407,0.0212240838668124
Potosí,2009,4.67230421304703,23076.5168317407,0.0202470080173472
Potosí,2010,7.09411495923996,23076.5168317407,0.0307417059990714
Potosí,2011,5.18860992789269,23076.5168317407,0.0224843721681427
Potosí,2012,8.18823750317097,23076.5168317407,0.0354829871547529
Potosí,2013,0.292487755417824,23076.5168317407,0.00126746925261927
Potosí,2014,0.146302945911884,23076.5168317407,0.000633990593028542
Potosí,2015,0,23076.5168317407,0
Potosí,2016,0.731128968298435,23076.5168317407,0.00316828130358391
Potosí,2017,2.48425085842609,23076.5168317407,0.0107652765646552
Potosí,2018,0,23076.5168317407,0
Potosí,2019,0,23076.5168317407,0
Potosí,2020,0.512047871947289,23076.5168317407,0.00221891317342568
Potosí,2021,0,23076.5168317407,0
Potosí,2022,0,23076.5168317407,0
Potosí,2023,0,23076.5168317407,0
Santa Cruz,2001,85939.3296844587,31523122.6023285,0.272623149580082
Santa Cruz,2002,118259.638325952,31523122.6023285,0.375152042574668
Santa Cruz,2003,112777.231473275,31523122.6023285,0.357760342768023
Santa Cruz,2004,132396.023485519,31523122.6023285,0.419996537639135
Santa Cruz,2005,150490.165286571,31523122.6023285,0.477396123426728
Santa Cruz,2006,148051.27551242,31523122.6023285,0.469659295432502
Santa Cruz,2007,129441.14749679,31523122.6023285,0.410622859701179
Santa Cruz,2008,259096.379436091,31523122.6023285,0.821924854033821
Santa Cruz,2009,141078.376096062,31523122.6023285,0.447539343978701
Santa Cruz,2010,294209.443491422,31523122.6023285,0.93331313399038
Santa Cruz,2011,210323.266474053,31523122.6023285,0.667203148391517
Santa Cruz,2012,197413.821133286,31523122.6023285,0.626250843305428
Santa Cruz,2013,124149.70071809,31523122.6023285,0.393836937679897
Santa Cruz,2014,154942.868735209,31523122.6023285,0.491521321316576
Santa Cruz,2015,122188.143191107,31523122.6023285,0.387614338631799
Santa Cruz,2016,363398.719921984,31523122.6023285,1.15280051569238
Santa Cruz,2017,332215.239653721,31523122.6023285,1.0538779544295
Santa Cruz,2018,233938.794006333,31523122.6023285,0.742118085690701
Santa Cruz,2019,735772.797223248,31523122.6023285,2.33407332929924
Santa Cruz,2020,315700.857462913,31523122.6023285,1.00148979987025
Santa Cruz,2021,445840.289747022,31523122.6023285,1.41432781064047
Santa Cruz,2022,458590.96948386,31523122.6023285,1.45477646763962
Santa Cruz,2023,370955.273943536,31523122.6023285,1.17677197980423
Tarija,2001,4282.8720703572,2395846.27580506,0.178762390292259
Tarija,2002,3060.30906481296,2395846.27580506,0.127733949198582
Tarija,2003,3436.9009700045,2395846.27580506,0.143452482937354
Tarija,2004,7838.56918580085,2395846.27580506,0.327173294253485
Tarija,2005,7393.38880705088,2395846.27580506,0.308591952735637
Tarija,2006,5009.84168471396,2395846.27580506,0.209105305933309
Tarija,2007,2152.36245559156,2395846.27580506,0.0898372519692781
Tarija,2008,22877.7942745909,2395846.27580506,0.954894080877681
Tarija,2009,7849.80037869513,2395846.27580506,0.327642071946265
Tarija,2010,14927.0781482086,2395846.27580506,0.623039896129926
Tarija,2011,7308.87186717242,2395846.27580506,0.305064308214702
Tarija,2012,5988.040119268,2395846.27580506,0.249934237423303
Tarija,2013,5592.80758231133,2395846.27580506,0.233437664126928
Tarija,2014,4304.16786131263,2395846.27580506,0.179651253286955
Tarija,2015,1607.83050129563,2395846.27580506,0.067109084482282
Tarija,2016,4976.67313463241,2395846.27580506,0.207720886973857
Tarija,2017,6765.09899091721,2395846.27580506,0.282367823813903
Tarija,2018,6332.00688811392,2395846.27580506,0.264291033696901
Tarija,2019,9759.64841286838,2395846.27580506,0.407357037529
Tarija,2020,11250.6410839409,2395846.27580506,0.46958943892009
Tarija,2021,7641.83070531488,2395846.27580506,0.318961645514883
Tarija,2022,14701.9205611348,2395846.27580506,0.613642065002464
Tarija,2023,10038.2926924452,2395846.27580506,0.418987344631371
